Wavelength,Intensity,Group
197.75,3188,Blue
198.23,3072,Blue
198.71,3078.5,Blue
199.19,3074,Blue
199.67,3212,Blue
200.15,3194.5,Blue
200.63,3208.5,Blue
201.11,3173,Blue
201.59,3194.5,Blue
202.07,3183.5,Blue
202.55,3193.5,Blue
203.03,3186,Blue
203.51,3195,Blue
203.99,3195,Blue
204.47,3190.5,Blue
204.95,3192.5,Blue
205.42,3207,Blue
205.9,3197.5,Blue
206.38,3180,Blue
206.86,3193.5,Blue
207.34,3201,Blue
207.82,3195,Blue
208.3,3199.5,Blue
208.78,3196.5,Blue
209.26,3208.5,Blue
209.74,3219.5,Blue
210.22,3199.5,Blue
210.7,3221,Blue
211.18,3204.5,Blue
211.65,3208,Blue
212.13,3208.5,Blue
212.61,3203,Blue
213.09,3213.5,Blue
213.57,3209.5,Blue
214.05,3216,Blue
214.53,3222,Blue
215.01,3209.5,Blue
215.49,3222.5,Blue
215.96,3190.5,Blue
216.44,3190,Blue
216.92,3248.5,Blue
217.4,3201,Blue
217.88,3225,Blue
218.36,3219.5,Blue
218.84,3253.5,Blue
219.32,3219.5,Blue
219.79,3214,Blue
220.27,3235,Blue
220.75,3222.5,Blue
221.23,3195.5,Blue
221.71,3206.5,Blue
222.19,3194.5,Blue
222.66,3205,Blue
223.14,3204,Blue
223.62,3199.5,Blue
224.1,3205,Blue
224.58,3215.5,Blue
225.06,3210,Blue
225.53,3212,Blue
226.01,3197.5,Blue
226.49,3205,Blue
226.97,3214,Blue
227.45,3190,Blue
227.92,3219.5,Blue
228.4,3247,Blue
228.88,3206,Blue
229.36,3206,Blue
229.84,3225.5,Blue
230.31,3230,Blue
230.79,3213.5,Blue
231.27,3232.5,Blue
231.75,3204.5,Blue
232.22,3225,Blue
232.7,3215,Blue
233.18,3190,Blue
233.66,3222.5,Blue
234.14,3219.5,Blue
234.61,3219,Blue
235.09,3207,Blue
235.57,3216.5,Blue
236.05,3210,Blue
236.52,3235.5,Blue
237,3202.5,Blue
237.48,3212.5,Blue
237.96,3224.5,Blue
238.43,3228,Blue
238.91,3214.5,Blue
239.39,3206,Blue
239.86,3238,Blue
240.34,3222.5,Blue
240.82,3217.5,Blue
241.3,3223,Blue
241.77,3216,Blue
242.25,3237.5,Blue
242.73,3211,Blue
243.2,3208,Blue
243.68,3201,Blue
244.16,3215.5,Blue
244.64,3224,Blue
245.11,3212,Blue
245.59,3240.5,Blue
246.07,3222.5,Blue
246.54,3196,Blue
247.02,3196,Blue
247.5,3210.5,Blue
247.97,3214.5,Blue
248.45,3229,Blue
248.93,3210.5,Blue
249.4,3224.5,Blue
249.88,3207,Blue
250.36,3198,Blue
250.83,3217,Blue
251.31,3234.5,Blue
251.79,3243.5,Blue
252.26,3215,Blue
252.74,3208.5,Blue
253.21,3203.5,Blue
253.69,3204.5,Blue
254.17,3224.5,Blue
254.64,3197.5,Blue
255.12,3219.5,Blue
255.6,3205,Blue
256.07,3221.5,Blue
256.55,3204,Blue
257.02,3216.5,Blue
257.5,3236,Blue
257.98,3210,Blue
258.45,3213,Blue
258.93,3205.5,Blue
259.41,3242,Blue
259.88,3188.5,Blue
260.36,3219.5,Blue
260.83,3208.5,Blue
261.31,3218.5,Blue
261.78,3205.5,Blue
262.26,3223,Blue
262.74,3209.5,Blue
263.21,3206,Blue
263.69,3205,Blue
264.16,3220.5,Blue
264.64,3202,Blue
265.11,3222,Blue
265.59,3207,Blue
266.07,3201,Blue
266.54,3204.5,Blue
267.02,3211.5,Blue
267.49,3216.5,Blue
267.97,3217.5,Blue
268.44,3204.5,Blue
268.92,3237.5,Blue
269.39,3223.5,Blue
269.87,3209,Blue
270.34,3209,Blue
270.82,3217.5,Blue
271.3,3215.5,Blue
271.77,3203,Blue
272.25,3203,Blue
272.72,3205,Blue
273.2,3213.5,Blue
273.67,3226.5,Blue
274.15,3215.5,Blue
274.62,3220,Blue
275.1,3214.5,Blue
275.57,3190.5,Blue
276.05,3220.5,Blue
276.52,3209.5,Blue
277,3210,Blue
277.47,3213,Blue
277.95,3227,Blue
278.42,3214.5,Blue
278.89,3218,Blue
279.37,3209.5,Blue
279.84,3247.5,Blue
280.32,3231,Blue
280.79,3224.5,Blue
281.27,3218.5,Blue
281.74,3225.5,Blue
282.22,3220,Blue
282.69,3213.5,Blue
283.17,3195.5,Blue
283.64,3218,Blue
284.12,3211,Blue
284.59,3208,Blue
285.06,3217,Blue
