"Gene_ID","Kmeans_Cluster"
"g_00003","3"
"g_00005","3"
"g_00006","3"
"g_00011","7"
"g_00012","8"
"g_00014","8"
"g_00015","8"
"g_00016","8"
"g_00017","3"
"g_00022","3"
"g_00023","3"
"g_00028","3"
"g_00035","5"
"g_00036","8"
"g_00041","10"
"g_00042","5"
"g_00044","8"
"g_00045","3"
"g_00048","3"
"g_00049","5"
"g_00051","3"
"g_00054","5"
"g_00056","8"
"g_00060","3"
"g_00063","8"
"g_00066","1"
"g_00068","3"
"g_00071","8"
"g_00074","7"
"g_00075","10"
"g_00077","3"
"g_00078","10"
"g_00081","3"
"g_00082","3"
"g_00083","3"
"g_00089","5"
"g_00091","7"
"g_00092","1"
"g_00093","5"
"g_00094","5"
"g_00095","3"
"g_00096","8"
"g_00097","7"
"g_00098","3"
"g_00099","5"
"g_00105","9"
"g_00106","1"
"g_00110","3"
"g_00111","9"
"g_00112","8"
"g_00113","5"
"g_00115","3"
"g_00116","3"
"g_00117","3"
"g_00118","9"
"g_00120","3"
"g_00121","3"
"g_00122","8"
"g_00123","8"
"g_00124","1"
"g_00126","3"
"g_00128","3"
"g_00130","3"
"g_00133","3"
"g_00134","3"
"g_00135","4"
"g_00136","1"
"g_00137","1"
"g_00141","3"
"g_00145","3"
"g_00146","3"
"g_00147","10"
"g_00148","3"
"g_00151","3"
"g_00152","8"
"g_00154","3"
"g_00155","3"
"g_00156","3"
"g_00159","6"
"g_00160","3"
"g_00161","3"
"g_00162","8"
"g_00166","3"
"g_00167","5"
"g_00169","9"
"g_00171","3"
"g_00172","3"
"g_00175","8"
"g_00176","5"
"g_00179","8"
"g_00183","7"
"g_00184","5"
"g_00185","10"
"g_00193","3"
"g_00194","3"
"g_00196","1"
"g_00197","3"
"g_00198","3"
"g_00200","3"
"g_00201","3"
"g_00202","5"
"g_00204","7"
"g_00206","3"
"g_00210","8"
"g_00216","6"
"g_00219","3"
"g_00220","3"
"g_00223","8"
"g_00226","5"
"g_00230","3"
"g_00231","3"
"g_00232","1"
"g_00233","3"
"g_00236","6"
"g_00238","5"
"g_00241","8"
"g_00242","3"
"g_00243","9"
"g_00250","5"
"g_00251","3"
"g_00252","3"
"g_00253","3"
"g_00254","3"
"g_00255","10"
"g_00256","3"
"g_00258","5"
"g_00259","9"
"g_00260","8"
"g_00265","1"
"g_00267","7"
"g_00269","7"
"g_00276","3"
"g_00278","3"
"g_00287","3"
"g_00288","3"
"g_00290","5"
"g_00293","1"
"g_00296","8"
"g_00303","6"
"g_00304","3"
"g_00305","3"
"g_00308","3"
"g_00309","5"
"g_00316","3"
"g_00317","3"
"g_00320","3"
"g_00322","1"
"g_00325","3"
"g_00327","8"
"g_00335","1"
"g_00338","7"
"g_00339","5"
"g_00340","5"
"g_00342","1"
"g_00343","7"
"g_00350","1"
"g_00351","3"
"g_00352","3"
"g_00353","3"
"g_00354","10"
"g_00357","8"
"g_00358","3"
"g_00360","9"
"g_00361","3"
"g_00362","1"
"g_00366","3"
"g_00370","3"
"g_00371","1"
"g_00372","8"
"g_00375","5"
"g_00376","5"
"g_00378","3"
"g_00382","3"
"g_00383","3"
"g_00385","3"
"g_00386","5"
"g_00387","3"
"g_00388","5"
"g_00389","10"
"g_00390","3"
"g_00391","3"
"g_00392","3"
"g_00394","5"
"g_00400","3"
"g_00406","3"
"g_00407","6"
"g_00409","10"
"g_00412","10"
"g_00414","9"
"g_00415","3"
"g_00416","3"
"g_00417","3"
"g_00421","1"
"g_00425","8"
"g_00426","3"
"g_00427","3"
"g_00430","5"
"g_00434","8"
"g_00435","3"
"g_00436","3"
"g_00437","3"
"g_00438","7"
"g_00439","3"
"g_00441","3"
"g_00442","7"
"g_00443","2"
"g_00446","3"
"g_00450","1"
"g_00454","10"
"g_00456","3"
"g_00457","3"
"g_00460","3"
"g_00462","3"
"g_00467","6"
"g_00469","5"
"g_00470","3"
"g_00471","10"
"g_00472","3"
"g_00477","3"
"g_00479","1"
"g_00481","8"
"g_00483","3"
"g_00484","8"
"g_00485","1"
"g_00486","3"
"g_00487","10"
"g_00490","8"
"g_00491","9"
"g_00494","3"
"g_00495","7"
"g_00498","5"
"g_00503","1"
"g_00504","3"
"g_00505","3"
"g_00510","8"
"g_00511","8"
"g_00512","3"
"g_00513","5"
"g_00516","5"
"g_00517","8"
"g_00518","3"
"g_00519","3"
"g_00520","5"
"g_00523","3"
"g_00524","4"
"g_00527","3"
"g_00533","8"
"g_00534","6"
"g_00535","3"
"g_00536","5"
"g_00537","3"
"g_00539","3"
"g_00541","10"
"g_00542","9"
"g_00543","5"
"g_00546","8"
"g_00547","3"
"g_00549","3"
"g_00550","7"
"g_00551","5"
"g_00552","9"
"g_00557","8"
"g_00558","10"
"g_00559","9"
"g_00563","3"
"g_00564","8"
"g_00565","1"
"g_00569","9"
"g_00570","8"
"g_00574","8"
"g_00575","7"
"g_00581","3"
"g_00583","3"
"g_00587","8"
"g_00588","3"
"g_00591","2"
"g_00592","9"
"g_00598","3"
"g_00602","9"
"g_00603","10"
"g_00604","5"
"g_00606","3"
"g_00607","3"
"g_00608","3"
"g_00609","8"
"g_00610","8"
"g_00611","3"
"g_00612","1"
"g_00619","7"
"g_00623","1"
"g_00627","6"
"g_00629","5"
"g_00630","3"
"g_00631","3"
"g_00632","3"
"g_00634","3"
"g_00635","8"
"g_00637","3"
"g_00638","3"
"g_00639","3"
"g_00640","3"
"g_00647","7"
"g_00648","8"
"g_00651","10"
"g_00652","3"
"g_00653","3"
"g_00662","8"
"g_00663","3"
"g_00665","4"
"g_00666","7"
"g_00670","3"
"g_00674","3"
"g_00675","2"
"g_00676","3"
"g_00679","3"
"g_00684","3"
"g_00685","3"
"g_00686","3"
"g_00693","3"
"g_00695","5"
"g_00697","7"
"g_00701","3"
"g_00702","3"
"g_00704","10"
"g_00705","8"
"g_00706","3"
"g_00707","3"
"g_00708","3"
"g_00711","5"
"g_00712","1"
"g_00714","3"
"g_00716","3"
"g_00717","3"
"g_00718","3"
"g_00722","5"
"g_00725","8"
"g_00727","10"
"g_00728","6"
"g_00730","3"
"g_00732","4"
"g_00735","5"
"g_00737","7"
"g_00738","3"
"g_00739","3"
"g_00741","5"
"g_00743","3"
"g_00744","3"
"g_00747","3"
"g_00748","2"
"g_00754","7"
"g_00756","3"
"g_00759","3"
"g_00760","3"
"g_00761","10"
"g_00764","5"
"g_00766","10"
"g_00767","8"
"g_00768","8"
"g_00770","3"
"g_00771","3"
"g_00778","3"
"g_00779","3"
"g_00780","3"
"g_00782","7"
"g_00784","5"
"g_00789","9"
"g_00790","5"
"g_00791","1"
"g_00796","10"
"g_00798","3"
"g_00803","5"
"g_00805","1"
"g_00807","5"
"g_00808","3"
"g_00810","3"
"g_00812","3"
"g_00813","3"
"g_00818","10"
"g_00821","5"
"g_00822","3"
"g_00827","9"
"g_00829","10"
"g_00830","3"
"g_00831","3"
"g_00832","3"
"g_00834","3"
"g_00836","3"
"g_00841","1"
"g_00844","5"
"g_00845","3"
"g_00852","2"
"g_00853","8"
"g_00858","3"
"g_00859","1"
"g_00860","3"
"g_00864","3"
"g_00874","3"
"g_00875","3"
"g_00878","7"
"g_00880","8"
"g_00885","8"
"g_00886","8"
"g_00887","3"
"g_00888","3"
"g_00889","5"
"g_00892","5"
"g_00895","7"
"g_00899","3"
"g_00900","1"
"g_00902","5"
"g_00907","8"
"g_00909","3"
"g_00918","3"
"g_00919","8"
"g_00920","3"
"g_00931","1"
"g_00932","3"
"g_00937","10"
"g_00940","1"
"g_00943","8"
"g_00944","3"
"g_00947","1"
"g_00949","8"
"g_00951","3"
"g_00952","3"
"g_00953","1"
"g_00954","3"
"g_00959","8"
"g_00961","3"
"g_00964","3"
"g_00966","8"
"g_00967","8"
"g_00968","3"
"g_00969","3"
"g_00975","3"
"g_00978","6"
"g_00979","3"
"g_00980","3"
"g_00981","3"
"g_00982","5"
"g_00985","6"
"g_00990","3"
"g_00992","3"
"g_00994","1"
"g_00997","3"
"g_00998","3"
"g_01001","3"
"g_01004","3"
"g_01005","5"
"g_01010","9"
"g_01011","3"
"g_01016","3"
"g_01017","3"
"g_01020","5"
"g_01027","6"
"g_01028","8"
"g_01029","3"
"g_01033","1"
"g_01035","3"
"g_01039","8"
"g_01041","3"
"g_01042","5"
"g_01043","3"
"g_01048","5"
"g_01051","3"
"g_01053","1"
"g_01054","3"
"g_01055","3"
"g_01056","3"
"g_01058","5"
"g_01059","3"
"g_01066","9"
"g_01067","9"
"g_01070","5"
"g_01071","3"
"g_01074","1"
"g_01075","5"
"g_01077","2"
"g_01078","3"
"g_01079","3"
"g_01082","9"
"g_01087","8"
"g_01088","8"
"g_01092","3"
"g_01097","7"
"g_01102","3"
"g_01103","8"
"g_01105","3"
"g_01106","3"
"g_01108","5"
"g_01110","1"
"g_01111","2"
"g_01112","6"
"g_01113","8"
"g_01114","8"
"g_01115","8"
"g_01117","8"
"g_01118","3"
"g_01119","3"
"g_01120","3"
"g_01130","3"
"g_01131","5"
"g_01132","3"
"g_01135","5"
"g_01136","8"
"g_01137","3"
"g_01138","3"
"g_01142","9"
"g_01143","9"
"g_01144","3"
"g_01145","3"
"g_01146","1"
"g_01148","3"
"g_01152","3"
"g_01153","3"
"g_01157","3"
"g_01158","1"
"g_01159","8"
"g_01160","5"
"g_01161","3"
"g_01165","3"
"g_01167","5"
"g_01168","3"
"g_01169","3"
"g_01170","8"
"g_01174","3"
"g_01178","3"
"g_01179","3"
"g_01181","1"
"g_01182","3"
"g_01184","4"
"g_01187","10"
"g_01192","3"
"g_01193","9"
"g_01194","5"
"g_01198","5"
"g_01200","5"
"g_01202","8"
"g_01203","3"
"g_01204","1"
"g_01205","8"
"g_01208","3"
"g_01214","5"
"g_01223","10"
"g_01227","3"
"g_01228","1"
"g_01229","3"
"g_01231","10"
"g_01234","1"
"g_01236","6"
"g_01238","8"
"g_01240","9"
"g_01242","3"
"g_01247","3"
"g_01248","3"
"g_01249","5"
"g_01254","6"
"g_01257","3"
"g_01258","3"
"g_01259","5"
"g_01260","5"
"g_01262","7"
"g_01270","1"
"g_01271","3"
"g_01274","3"
"g_01275","3"
"g_01277","10"
"g_01278","3"
"g_01279","3"
"g_01280","3"
"g_01286","8"
"g_01287","7"
"g_01288","3"
"g_01291","7"
"g_01295","5"
"g_01296","6"
"g_01299","9"
"g_01304","9"
"g_01310","1"
"g_01316","3"
"g_01317","3"
"g_01319","3"
"g_01320","5"
"g_01322","1"
"g_01323","3"
"g_01324","10"
"g_01326","1"
"g_01327","10"
"g_01328","3"
"g_01329","3"
"g_01331","3"
"g_01332","1"
"g_01334","3"
"g_01335","5"
"g_01337","10"
"g_01342","4"
"g_01344","1"
"g_01351","3"
"g_01352","3"
"g_01353","7"
"g_01355","8"
"g_01358","6"
"g_01362","5"
"g_01363","3"
"g_01365","7"
"g_01367","8"
"g_01369","1"
"g_01375","8"
"g_01377","3"
"g_01378","3"
"g_01380","3"
"g_01381","7"
"g_01384","3"
"g_01386","8"
"g_01388","3"
"g_01389","5"
"g_01392","6"
"g_01394","3"
"g_01395","3"
"g_01396","3"
"g_01397","1"
"g_01398","5"
"g_01400","1"
"g_01403","6"
"g_01404","3"
"g_01408","5"
"g_01409","9"
"g_01415","8"
"g_01417","8"
"g_01419","5"
"g_01426","6"
"g_01427","8"
"g_01429","3"
"g_01430","5"
"g_01436","1"
"g_01437","10"
"g_01441","9"
"g_01445","6"
"g_01446","8"
"g_01455","8"
"g_01456","9"
"g_01463","5"
"g_01466","8"
"g_01467","3"
"g_01468","3"
"g_01471","5"
"g_01475","8"
"g_01476","10"
"g_01477","3"
"g_01478","3"
"g_01479","3"
"g_01481","3"
"g_01482","3"
"g_01484","7"
"g_01491","7"
"g_01492","8"
"g_01495","8"
"g_01497","3"
"g_01498","5"
"g_01502","3"
"g_01506","7"
"g_01509","8"
"g_01510","3"
"g_01511","1"
"g_01512","3"
"g_01521","8"
"g_01522","10"
"g_01523","3"
"g_01527","3"
"g_01528","3"
"g_01529","6"
"g_01530","3"
"g_01531","3"
"g_01532","10"
"g_01540","3"
"g_01541","10"
"g_01543","5"
"g_01544","6"
"g_01546","3"
"g_01547","3"
"g_01552","9"
"g_01553","3"
"g_01554","3"
"g_01555","3"
"g_01562","7"
"g_01565","5"
"g_01572","8"
"g_01573","3"
"g_01574","3"
"g_01581","8"
"g_01582","3"
"g_01584","3"
"g_01588","3"
"g_01593","3"
"g_01594","3"
"g_01604","7"
"g_01605","3"
"g_01609","2"
"g_01614","3"
"g_01615","3"
"g_01616","3"
"g_01617","8"
"g_01619","5"
"g_01620","3"
"g_01622","3"
"g_01629","3"
"g_01630","3"
"g_01631","3"
"g_01632","10"
"g_01634","3"
"g_01639","3"
"g_01640","1"
"g_01641","3"
"g_01642","3"
"g_01643","5"
"g_01646","5"
"g_01657","3"
"g_01658","6"
"g_01660","7"
"g_01663","7"
"g_01665","5"
"g_01668","7"
"g_01675","3"
"g_01676","3"
"g_01677","3"
"g_01678","3"
"g_01680","3"
"g_01684","8"
"g_01685","3"
"g_01686","1"
"g_01690","3"
"g_01691","1"
"g_01693","3"
"g_01698","8"
"g_01709","3"
"g_01710","8"
"g_01713","8"
"g_01714","1"
"g_01715","3"
"g_01717","3"
"g_01719","5"
"g_01721","3"
"g_01724","3"
"g_01725","5"
