"Gene_ID","Kmeans_Cluster"
"g_00005","1"
"g_00016","2"
"g_00028","1"
"g_00048","7"
"g_00071","6"
"g_00083","2"
"g_00096","6"
"g_00098","1"
"g_00120","6"
"g_00121","2"
"g_00123","7"
"g_00126","2"
"g_00128","2"
"g_00133","6"
"g_00141","7"
"g_00146","2"
"g_00152","6"
"g_00155","6"
"g_00160","6"
"g_00166","7"
"g_00179","7"
"g_00184","7"
"g_00198","7"
"g_00200","1"
"g_00201","7"
"g_00216","7"
"g_00219","2"
"g_00241","3"
"g_00243","5"
"g_00253","6"
"g_00254","2"
"g_00260","6"
"g_00287","1"
"g_00305","2"
"g_00366","2"
"g_00372","6"
"g_00382","7"
"g_00383","2"
"g_00386","7"
"g_00387","2"
"g_00392","2"
"g_00400","3"
"g_00406","1"
"g_00425","6"
"g_00434","6"
"g_00435","7"
"g_00441","2"
"g_00443","9"
"g_00459","1"
"g_00460","2"
"g_00470","2"
"g_00472","1"
"g_00477","6"
"g_00486","7"
"g_00490","1"
"g_00511","7"
"g_00523","1"
"g_00535","8"
"g_00543","1"
"g_00547","2"
"g_00551","1"
"g_00574","8"
"g_00583","2"
"g_00598","2"
"g_00603","5"
"g_00610","7"
"g_00611","7"
"g_00630","7"
"g_00632","2"
"g_00640","2"
"g_00648","6"
"g_00653","2"
"g_00676","2"
"g_00679","2"
"g_00685","2"
"g_00693","2"
"g_00701","2"
"g_00778","2"
"g_00789","4"
"g_00810","6"
"g_00812","2"
"g_00813","2"
"g_00822","2"
"g_00834","2"
"g_00864","2"
"g_00892","7"
"g_00899","2"
"g_00907","6"
"g_00943","7"
"g_00970","1"
"g_00980","2"
"g_00982","1"
"g_00992","2"
"g_01014","5"
"g_01028","6"
"g_01041","2"
"g_01042","8"
"g_01043","1"
"g_01051","1"
"g_01052","9"
"g_01066","5"
"g_01078","2"
"g_01087","6"
"g_01105","2"
"g_01106","7"
"g_01112","4"
"g_01117","6"
"g_01131","1"
"g_01132","2"
"g_01136","6"
"g_01144","1"
"g_01145","2"
"g_01148","2"
"g_01152","2"
"g_01174","2"
"g_01182","1"
"g_01205","7"
"g_01208","7"
"g_01259","2"
"g_01271","2"
"g_01316","2"
"g_01323","7"
"g_01331","2"
"g_01351","2"
"g_01363","2"
"g_01367","6"
"g_01380","2"
"g_01394","8"
"g_01395","2"
"g_01404","7"
"g_01429","2"
"g_01445","4"
"g_01446","6"
"g_01455","4"
"g_01477","7"
"g_01478","2"
"g_01492","6"
"g_01498","7"
"g_01510","2"
"g_01523","2"
"g_01530","7"
"g_01531","1"
"g_01547","2"
"g_01555","1"
"g_01562","9"
"g_01572","6"
"g_01581","6"
"g_01634","1"
"g_01668","9"
"g_01671","9"
"g_01676","2"
"g_01693","7"
"g_01713","6"
"g_01719","1"
"g_01773","4"
"g_01813","6"
"g_01832","7"
"g_01837","6"
"g_01838","1"
"g_01859","7"
"g_01860","6"
"g_01863","7"
"g_01883","6"
"g_01889","3"
"g_01899","1"
"g_01903","7"
"g_01932","2"
"g_01964","7"
"g_02003","2"
"g_02010","3"
"g_02044","1"
"g_02050","2"
"g_02054","2"
"g_02061","2"
"g_02065","6"
"g_02071","6"
"g_02072","6"
"g_02079","7"
"g_02082","9"
"g_02084","7"
"g_02090","2"
"g_02100","7"
"g_02113","7"
"g_02144","2"
"g_02168","6"
"g_02184","6"
"g_02186","2"
"g_02229","2"
"g_02244","7"
"g_02254","6"
"g_02256","2"
"g_02287","10"
"g_02291","7"
"g_02296","7"
"g_02330","6"
"g_02332","1"
