"Gene_ID","Kmeans_Cluster"
"g_00003","6"
"g_00005","5"
"g_00006","5"
"g_00011","1"
"g_00012","2"
"g_00014","5"
"g_00015","5"
"g_00016","5"
"g_00017","6"
"g_00022","5"
"g_00023","5"
"g_00028","5"
"g_00035","6"
"g_00036","5"
"g_00041","3"
"g_00042","5"
"g_00044","6"
"g_00045","5"
"g_00048","6"
"g_00049","5"
"g_00051","5"
"g_00054","5"
"g_00056","5"
"g_00060","5"
"g_00063","2"
"g_00066","1"
"g_00068","5"
"g_00071","2"
"g_00074","1"
"g_00075","4"
"g_00077","5"
"g_00078","4"
"g_00081","5"
"g_00082","6"
"g_00083","5"
"g_00089","5"
"g_00091","1"
"g_00092","4"
"g_00093","6"
"g_00094","6"
"g_00095","5"
"g_00096","5"
"g_00097","1"
"g_00098","5"
"g_00099","5"
"g_00105","2"
"g_00106","4"
"g_00110","5"
"g_00111","2"
"g_00112","5"
"g_00113","5"
"g_00115","5"
"g_00116","6"
"g_00117","5"
"g_00118","2"
"g_00120","5"
"g_00121","5"
"g_00122","2"
"g_00123","6"
"g_00124","4"
"g_00126","5"
"g_00128","5"
"g_00130","5"
"g_00133","5"
"g_00134","5"
"g_00135","7"
"g_00136","1"
"g_00137","1"
"g_00141","6"
"g_00145","5"
"g_00146","5"
"g_00147","4"
"g_00148","5"
"g_00151","5"
"g_00152","5"
"g_00154","5"
"g_00155","5"
"g_00156","5"
"g_00159","6"
"g_00160","5"
"g_00161","5"
"g_00162","2"
"g_00166","6"
"g_00167","6"
"g_00169","2"
"g_00171","6"
"g_00172","5"
"g_00175","2"
"g_00176","5"
"g_00179","6"
"g_00183","1"
"g_00184","6"
"g_00185","3"
"g_00193","5"
"g_00194","5"
"g_00196","4"
"g_00197","5"
"g_00198","6"
"g_00200","5"
"g_00201","6"
"g_00202","5"
"g_00204","1"
"g_00206","5"
"g_00210","5"
"g_00216","6"
"g_00219","5"
"g_00220","5"
"g_00223","2"
"g_00226","5"
"g_00230","5"
"g_00231","5"
"g_00232","1"
"g_00233","6"
"g_00236","7"
"g_00238","5"
"g_00241","2"
"g_00242","6"
"g_00243","2"
"g_00250","6"
"g_00251","6"
"g_00252","5"
"g_00253","5"
"g_00254","5"
"g_00255","3"
"g_00256","6"
"g_00258","5"
"g_00259","2"
"g_00260","2"
"g_00265","4"
"g_00267","1"
"g_00269","1"
"g_00276","5"
"g_00278","6"
"g_00287","5"
"g_00288","6"
"g_00290","5"
"g_00293","4"
"g_00296","5"
"g_00303","2"
"g_00304","5"
"g_00305","5"
"g_00308","5"
"g_00309","5"
"g_00316","5"
"g_00317","5"
"g_00320","5"
"g_00322","1"
"g_00325","6"
"g_00327","2"
"g_00335","4"
"g_00338","1"
"g_00339","5"
"g_00340","5"
"g_00342","4"
"g_00343","1"
"g_00350","4"
"g_00351","5"
"g_00352","5"
"g_00353","5"
"g_00354","4"
"g_00357","2"
"g_00358","5"
"g_00360","2"
"g_00361","5"
"g_00362","1"
"g_00366","5"
"g_00370","5"
"g_00371","4"
"g_00372","5"
"g_00375","6"
"g_00376","6"
"g_00378","5"
"g_00382","6"
"g_00383","5"
"g_00385","5"
"g_00386","6"
"g_00387","5"
"g_00388","5"
"g_00389","3"
"g_00390","6"
"g_00391","6"
"g_00392","5"
"g_00394","5"
"g_00400","5"
"g_00406","5"
"g_00407","2"
"g_00409","4"
"g_00412","3"
"g_00414","7"
"g_00415","6"
"g_00416","5"
"g_00417","5"
"g_00421","1"
"g_00425","2"
"g_00426","5"
"g_00427","5"
"g_00430","5"
"g_00434","2"
"g_00435","6"
"g_00436","5"
"g_00437","5"
"g_00438","1"
"g_00439","5"
"g_00441","5"
"g_00442","1"
"g_00443","7"
"g_00446","5"
"g_00450","4"
"g_00454","4"
"g_00456","5"
"g_00457","5"
"g_00460","5"
"g_00462","5"
"g_00467","2"
"g_00469","5"
"g_00470","5"
"g_00471","4"
"g_00472","5"
"g_00477","5"
"g_00479","4"
"g_00481","6"
"g_00483","5"
"g_00484","2"
"g_00485","4"
"g_00486","6"
"g_00487","3"
"g_00490","5"
"g_00491","2"
"g_00494","5"
"g_00495","1"
"g_00498","5"
"g_00503","4"
"g_00504","5"
"g_00505","5"
"g_00510","6"
"g_00511","6"
"g_00512","5"
"g_00513","6"
"g_00516","5"
"g_00517","5"
"g_00518","6"
"g_00519","5"
"g_00520","6"
"g_00523","5"
"g_00524","7"
"g_00527","5"
"g_00533","2"
"g_00534","7"
"g_00535","6"
"g_00536","6"
"g_00537","5"
"g_00539","5"
"g_00541","3"
"g_00542","2"
"g_00543","5"
"g_00546","6"
"g_00547","5"
"g_00549","6"
"g_00550","1"
"g_00551","5"
"g_00552","2"
"g_00557","5"
"g_00558","4"
"g_00559","6"
"g_00563","5"
"g_00564","6"
"g_00565","4"
"g_00569","2"
"g_00570","6"
"g_00574","2"
"g_00575","1"
"g_00581","5"
"g_00583","5"
"g_00587","6"
"g_00588","5"
"g_00591","7"
"g_00592","2"
"g_00598","5"
"g_00602","2"
"g_00603","3"
"g_00604","5"
"g_00606","6"
"g_00607","6"
"g_00608","5"
"g_00609","2"
"g_00610","6"
"g_00611","6"
"g_00612","1"
"g_00619","1"
"g_00623","1"
"g_00627","2"
"g_00629","5"
"g_00630","6"
"g_00631","5"
"g_00632","5"
"g_00634","5"
"g_00635","5"
"g_00637","5"
"g_00638","5"
"g_00639","6"
"g_00640","5"
"g_00647","1"
"g_00648","5"
"g_00651","3"
"g_00652","5"
"g_00653","5"
"g_00662","2"
"g_00663","5"
"g_00665","7"
"g_00666","1"
"g_00670","5"
"g_00674","5"
"g_00675","7"
"g_00676","5"
"g_00679","5"
"g_00684","5"
"g_00685","5"
"g_00686","5"
"g_00693","5"
"g_00695","5"
"g_00697","1"
"g_00701","5"
"g_00702","5"
"g_00704","3"
"g_00705","2"
"g_00706","5"
"g_00707","5"
