"Gene_ID","Kmeans_Cluster"
"g_00005","1"
"g_00016","2"
"g_00028","1"
"g_00048","2"
"g_00071","2"
"g_00083","1"
"g_00096","2"
"g_00098","1"
"g_00120","2"
"g_00121","1"
"g_00123","2"
"g_00126","1"
"g_00128","1"
"g_00133","2"
"g_00141","1"
"g_00146","1"
"g_00152","2"
"g_00155","2"
"g_00160","2"
"g_00166","1"
"g_00179","2"
"g_00184","1"
"g_00198","1"
"g_00200","1"
"g_00201","1"
"g_00216","2"
"g_00219","1"
"g_00241","6"
"g_00243","5"
"g_00253","2"
"g_00254","1"
"g_00260","2"
"g_00287","1"
"g_00305","2"
"g_00366","1"
"g_00372","2"
"g_00382","1"
"g_00383","1"
"g_00386","2"
"g_00387","1"
"g_00392","1"
"g_00400","6"
"g_00406","1"
"g_00425","2"
"g_00434","2"
"g_00435","1"
"g_00441","1"
"g_00443","4"
"g_00459","1"
"g_00460","1"
"g_00470","1"
"g_00472","1"
"g_00477","2"
"g_00486","1"
"g_00490","1"
"g_00511","2"
"g_00523","1"
"g_00535","1"
"g_00543","1"
"g_00547","1"
"g_00551","1"
"g_00574","1"
"g_00583","1"
"g_00598","1"
"g_00603","5"
"g_00610","2"
"g_00611","1"
"g_00630","1"
"g_00632","1"
"g_00640","1"
"g_00648","2"
"g_00653","1"
"g_00676","1"
"g_00679","1"
"g_00685","1"
"g_00693","1"
"g_00701","1"
"g_00778","1"
"g_00789","3"
"g_00810","2"
"g_00812","1"
"g_00813","1"
"g_00822","1"
"g_00834","1"
"g_00864","1"
"g_00892","1"
"g_00899","1"
"g_00907","2"
"g_00943","1"
"g_00970","1"
"g_00980","1"
"g_00982","1"
"g_00992","1"
"g_01014","5"
"g_01028","2"
"g_01041","1"
"g_01042","2"
"g_01043","1"
"g_01051","1"
"g_01052","4"
"g_01066","5"
"g_01078","1"
"g_01087","2"
"g_01105","1"
"g_01106","2"
"g_01112","6"
"g_01117","2"
"g_01131","1"
"g_01132","1"
"g_01136","2"
"g_01144","1"
"g_01145","1"
"g_01148","1"
"g_01152","1"
"g_01174","1"
"g_01182","1"
"g_01205","2"
"g_01208","1"
"g_01259","1"
"g_01271","1"
"g_01316","1"
"g_01323","1"
"g_01331","1"
"g_01351","1"
"g_01363","1"
"g_01367","2"
"g_01380","1"
"g_01394","2"
"g_01395","1"
"g_01404","2"
"g_01429","1"
"g_01445","6"
"g_01446","2"
"g_01455","2"
"g_01477","1"
"g_01478","1"
"g_01492","2"
"g_01498","1"
"g_01510","1"
"g_01523","1"
"g_01530","1"
"g_01531","1"
"g_01547","1"
"g_01555","1"
"g_01562","7"
"g_01572","2"
"g_01581","2"
"g_01634","1"
"g_01668","7"
"g_01671","5"
"g_01676","1"
"g_01693","1"
"g_01713","2"
"g_01719","1"
"g_01773","6"
"g_01813","2"
"g_01832","2"
"g_01837","2"
"g_01838","1"
"g_01859","2"
"g_01860","2"
"g_01863","1"
"g_01883","2"
"g_01889","6"
"g_01899","1"
"g_01903","1"
"g_01932","1"
"g_01964","1"
"g_02003","1"
"g_02010","6"
"g_02044","1"
"g_02050","1"
"g_02054","1"
"g_02061","1"
"g_02065","2"
"g_02071","2"
"g_02072","2"
"g_02079","1"
"g_02082","5"
"g_02084","2"
"g_02090","1"
"g_02100","1"
"g_02113","1"
"g_02144","1"
"g_02168","2"
"g_02184","2"
"g_02186","1"
"g_02229","2"
"g_02244","2"
"g_02254","2"
"g_02256","1"
"g_02287","3"
"g_02291","1"
"g_02296","2"
"g_02330","2"
"g_02332","1"
