Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
ABC transporters,ABC transporters,,55,-22.904762,4,0.561798,0.655,0.012277
Amino sugar and nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,,43,27.285714,4,0.533808,0.612778,0.005891
Bacterial chemotaxis,Bacterial chemotaxis,,39,-7.785714,3,0.517241,0.593333,0.003661
Galactose metabolism,Galactose metabolism,,42,28.190476,3,0.531915,0.608889,0.005877
Glycosyltransferases,Glycosyltransferases,,37,31.404762,4,0.519031,0.590556,0.004826
O-Antigen repeat unit biosynthesis,O-Antigen repeat unit biosynthesis,,36,8.833333,4,0.520833,0.589444,0.003556
Peptidoglycan biosynthesis,Peptidoglycan biosynthesis,,76,-64.95238,4,0.612245,0.726111,0.014168
Transport,Transport,,46,19.357143,3,0.543478,0.624444,0.007246
alpha-Linolenic acid metabolism,alpha-Linolenic acid metabolism,,59,62.023809,4,0.56391,0.665,0.008749
Amino acid metabolism,Amino acid metabolism,,58,50.619047,4,0.555556,0.658333,0.012301
Antigen processing and presentation,Antigen processing and presentation,,68,74.023809,4,0.585938,0.696111,0.004085
Apoptosis - fly,Apoptosis - fly,,64,71.47619,3,0.579151,0.683333,0.004411
Biosynthesis of unsaturated fatty acids,Biosynthesis of unsaturated fatty acids,,62,63.904762,4,0.56391,0.671667,0.011064
Carbon fixation in photosynthetic organisms,Carbon fixation in photosynthetic organisms,,59,-61.97619,4,0.541516,0.652778,0.005087
Cell cycle - Caulobacter,Cell cycle - Caulobacter,,65,75.547618,4,0.572519,0.682778,0.003102
Chaperones and folding catalysts,Chaperones and folding catalysts,,68,71.595237,4,0.592885,0.699444,0.00637
Coronavirus disease - COVID-19,Coronavirus disease - COVID-19,,57,62.095237,4,0.539568,0.647222,0.003718
EGFR tyrosine kinase inhibitor resistance,EGFR tyrosine kinase inhibitor resistance,,65,71.642857,3,0.581395,0.686667,0.00469
Exosome,Exosome,,68,74.023809,4,0.585938,0.696111,0.004085
Fluid shear stress and atherosclerosis,Fluid shear stress and atherosclerosis,,65,75.547618,4,0.572519,0.682778,0.003102
Glycerolipid metabolism,Glycerolipid metabolism,,65,64.119047,4,0.585938,0.689444,0.013332
Leishmaniasis,Leishmaniasis,,63,69.904761,4,0.566038,0.675,0.00275
Membrane trafficking,Membrane trafficking,,65,75.547618,4,0.572519,0.682778,0.003102
Messenger RNA biogenesis,Messenger RNA biogenesis,,68,71.119047,4,0.590551,0.698333,0.005748
Mitochondrial biogenesis,Mitochondrial biogenesis,,68,71.595237,4,0.592885,0.699444,0.00637
Necroptosis,Necroptosis,,65,75.547618,4,0.572519,0.682778,0.003102
Pathways in cancer,Pathways in cancer,,68,74.023809,4,0.585938,0.696111,0.004085
Peptidases and inhibitors,Peptidases and inhibitors,,59,69.119047,4,0.568182,0.667222,0.004569
Phenylpropanoid biosynthesis,Phenylpropanoid biosynthesis,,54,60.857143,4,0.549451,0.646111,0.003192
Proteasome,Proteasome,,68,74.023809,4,0.585938,0.696111,0.004085
Protein phosphatases and associated proteins,Protein phosphatases and associated proteins,,65,75.547618,4,0.572519,0.682778,0.003102
Protein processing in endoplasmic reticulum,Protein processing in endoplasmic reticulum,,65,75.547618,4,0.572519,0.682778,0.003102
Retrograde endocannabinoid signaling,Retrograde endocannabinoid signaling,,65,70.738095,4,0.576923,0.685,0.003683
RNA degradation,RNA degradation,,68,71.119047,4,0.590551,0.698333,0.005748
Secretion system,Secretion system,,48,38.619048,4,0.510204,0.609444,0.005967
Transcription machinery,Transcription machinery,,59,68.380952,4,0.570342,0.668333,0.00504
Alzheimer disease,Alzheimer disease,,66,50.595238,3,0.568182,0.682222,0.006092
Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis,,66,50.595238,3,0.568182,0.682222,0.006092
Biosynthesis of ansamycins,Biosynthesis of ansamycins,,51,29.857142,3,0.557621,0.643333,0.007305
Carbapenem biosynthesis,Carbapenem biosynthesis,,44,-35.97619,3,0.49505,0.59,0.001101
Carbohydrate digestion and absorption,Carbohydrate digestion and absorption,,68,46.095238,3,0.570342,0.687778,0.007449
Fatty acid elongation,Fatty acid elongation,,60,62.333333,3,0.566038,0.667778,0.003995
Hepatitis B,Hepatitis B,,70,58.880952,3,0.588235,0.701111,0.008528
HIF-1 signaling pathway,HIF-1 signaling pathway,,68,45.690476,4,0.595238,0.700556,0.00914
Hypertrophic cardiomyopathy,Hypertrophic cardiomyopathy,,54,52.023809,3,0.539568,0.64,0.001204
Lipid and atherosclerosis,Lipid and atherosclerosis,,47,32.261904,4,0.5,0.600556,0.002058
Non-alcoholic fatty liver disease,Non-alcoholic fatty liver disease,,67,37.5,3,0.592885,0.696667,0.011451
Others,Others,,68,-45.428571,3,0.576923,0.691111,0.008313
Parkinson disease,Parkinson disease,,70,58.880952,3,0.588235,0.701111,0.008528
Pathways of neurodegeneration - multiple diseases,Pathways of neurodegeneration - multiple diseases,,66,50.595238,3,0.568182,0.682222,0.006092
Prion disease,Prion disease,,66,50.595238,3,0.568182,0.682222,0.006092
Proximal tubule bicarbonate reclamation,Proximal tubule bicarbonate reclamation,,66,49.071428,3,0.566038,0.681111,0.005945
Ribosome,Ribosome,,47,37.428571,3,0.503356,0.602222,0.001544
RIG-I-like receptor signaling pathway,RIG-I-like receptor signaling pathway,,61,59.119047,4,0.559701,0.667222,0.004581
Thermogenesis,Thermogenesis,,66,50.595238,3,0.568182,0.682222,0.006092
Exopolysaccharide biosynthesis,Exopolysaccharide biosynthesis,,37,26.261905,4,0.5,0.578333,0.006227
Peptidoglycan biosynthesis and degradation proteins,Peptidoglycan biosynthesis and degradation proteins,,59,-57,3,0.541516,0.652222,0.005916
Amino acid related enzymes,Amino acid related enzymes,,33,29.880952,4,0.508475,0.575,0.002447
General function prediction only,General function prediction only,,51,42.142857,4,0.559701,0.645,0.007457
"Phenylalanine, tyrosine and tryptophan biosynthesis","Phenylalanine, tyrosine and tryptophan biosynthesis",,54,38.023809,4,0.56391,0.653889,0.009627
Purine metabolism,Purine metabolism,,47,48.190476,4,0.559701,0.636111,0.008162
Starch and sucrose metabolism,Starch and sucrose metabolism,,58,51.97619,4,0.566038,0.663889,0.011836
Transcription factors,Transcription factors,,58,51.97619,4,0.566038,0.663889,0.011836
Carbon fixation pathways in prokaryotes,Carbon fixation pathways in prokaryotes,,34,30.761905,3,0.5,0.571111,0.006071
Chromosome and associated proteins,Chromosome and associated proteins,,40,39.904762,4,0.526316,0.601667,0.005086
O-Antigen nucleotide sugar biosynthesis,O-Antigen nucleotide sugar biosynthesis,,20,16.309524,4,0.451807,0.506111,0.000272
Protein kinases,Protein kinases,,42,-19.547619,4,0.493421,0.585,0.00585
Retinol metabolism,Retinol metabolism,,31,29,4,0.493421,0.561111,0.001928
Aminoacyl-tRNA biosynthesis,Aminoacyl-tRNA biosynthesis,,50,18.690476,3,0.551471,0.637778,0.005347
Arabinogalactan biosynthesis - Mycobacterium,Arabinogalactan biosynthesis - Mycobacterium,,49,17.214286,3,0.545455,0.632222,0.004559
Bacterial motility proteins,Bacterial motility proteins,,48,-18.047619,3,0.545455,0.63,0.004145
Central carbon metabolism in cancer,Central carbon metabolism in cancer,,47,19.357143,3,0.543478,0.626667,0.006999
Chemical carcinogenesis - reactive oxygen species,Chemical carcinogenesis - reactive oxygen species,,42,16.904762,3,0.531915,0.608889,0.003549
Flagellar assembly,Flagellar assembly,,48,-18.047619,3,0.545455,0.63,0.004145
Function unknown,Function unknown,,44,19.452381,3,0.537634,0.616667,0.004833
Huntington disease,Huntington disease,,43,19.619048,3,0.520833,0.604444,0.005832
Legionellosis,Legionellosis,,51,-18.238095,3,0.551471,0.64,0.005417
NOD-like receptor signaling pathway,NOD-like receptor signaling pathway,,49,-17.214286,3,0.545455,0.632222,0.004559
Peroxisome,Peroxisome,,43,19.619048,3,0.520833,0.604444,0.005832
Plant-pathogen interaction,Plant-pathogen interaction,,49,-17.214286,3,0.545455,0.632222,0.004559
Pyrimidine metabolism,Pyrimidine metabolism,,43,19.619048,3,0.520833,0.604444,0.005832
Salmonella infection,Salmonella infection,,49,-17.214286,3,0.545455,0.632222,0.004559
Shigellosis,Shigellosis,,49,-17.214286,3,0.545455,0.632222,0.004559
Two-component system,Two-component system,,48,-18.047619,3,0.545455,0.63,0.004145
Cytochrome P450,Cytochrome P450,,55,48.095238,3,0.528169,0.635556,0.002187
Drug metabolism - other enzymes,Drug metabolism - other enzymes,,67,69.45238,4,0.595238,0.698333,0.007189
Insulin secretion,Insulin secretion,,64,64.357143,3,0.579151,0.683333,0.006155
PI3K-Akt signaling pathway,PI3K-Akt signaling pathway,,58,54.571428,4,0.561798,0.661667,0.023192
Cardiac muscle contraction,Cardiac muscle contraction,,43,8.404762,4,0.510204,0.599444,0.011723
