"level3_pathway_name","B1mean","B2mean","B3mean","D1mean","D2mean","D3mean","Y1mean","Y2mean","Y3mean","pvalue_BvsD","pvalue_YvsD","YvsD","BvsD","blue","dark","yellow"
"ABC transporters",2.749535,2.844881,2.38439711111111,6.76931633333333,5.12568488888889,6.66979922222222,14.0143971111111,14.6828177777778,22.4146537777778,0.0168144503158766,0.051744235337628,2.75316014409204,0.429781787043059,2.65960437037037,6.18826681481482,17.0372895555556
"Amino acid related enzymes",0.886927,0.592974,0.973856,2.909736,1.610898,4.90314,11.606319,9.517629,22.228564,0.134066013292008,0.0953033655717943,4.60033443077052,0.260379440338871,0.817919,3.141258,14.4508373333333
"Aminoacyl-tRNA biosynthesis",0.886927,0.592974,0.973856,2.909736,1.610898,4.90314,11.606319,9.517629,22.228564,0.134066013292008,0.0953033655717943,4.60033443077052,0.260379440338871,0.817919,3.141258,14.4508373333333
"Ascorbate and aldarate metabolism",5.428927,2.549517,3.174509,36.726079,37.574413,18.80168,11.647506,18.185637,5.21799,0.0442409916930866,0.0664563058996652,0.376480293069854,0.119792618801632,3.717651,31.0340573333333,11.683711
"Bacterial chemotaxis",0.836632,0.995743,0.649703,4.92498,2.329881,2.259888,8.550739,13.152136,19.55593,0.114246265230202,0.0710619305660019,4.33629988557764,0.260866366522123,0.827359333333333,3.171583,13.752935
"Drug metabolism - other enzymes",2.921154,2.8720815,4.7361375,3.7219805,1.889698,3.9370965,9.6230535,12.041709,18.0944695,0.733047124238228,0.0495894803542966,4.16380446706515,1.10269359158636,3.509791,3.182925,13.2530773333333
"Homologous recombination",1.107657,1.070214,1.567413,4.048616,2.923613,5.501004,19.275204,12.679216,27.8128,0.0542540094617488,0.0654350484838148,4.79163822242397,0.300265696952827,1.248428,4.15774433333333,19.9224066666667
"Porphyrin metabolism",0.518063,0.765096,0.7277,5.33622,1.659568,5.0227,19.293919,11.640356,23.906839,0.104552949868787,0.0461561440828161,4.5630626747724,0.167313808525665,0.670286333333333,4.00616266666667,18.2803713333333
"Quorum sensing",0.971241,0.9803498,0.75653,4.8298134,3.946602,4.792159,12.145493,15.4069786,20.9537644,0.00419486629403816,0.0438996215898162,3.5748955321349,0.199587717925621,0.902706933333333,4.52285813333333,16.1687453333333
"Shigellosis",12.981679,11.196899,19.126319,15.771096,12.047505,12.576962,29.077112,38.612202,59.809423,0.741238048789347,0.0831729824037975,3.15625597296416,1.07202112766692,14.4349656666667,13.4651876666667,42.499579
"Transcription",2.027486,4.52792,3.764634,3.897996,3.587471,4.920907,15.523957,23.892753,42.298048,0.467967896143494,0.0995328571001451,6.58651415796429,0.831833700966939,3.44001333333333,4.135458,27.2382526666667
