"gene_id","Blue1","Blue2","Blue3","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","level3_pathway_name"
"g_00003",22.838522,0.2355,0.801452,0.144241,0.216273,0.205956,0.823462,0.917153,0.189796,"Transporters"
"g_00005",18.961999,4.942066,2.640825,0.06334,0.172952,0,0,0,0,"Glyoxylate and dicarboxylate metabolism"
"g_00005",18.961999,4.942066,2.640825,0.06334,0.172952,0,0,0,0,"Peroxisome"
"g_00012",49.589714,7.011237,7.778856,0.072895,0.52717,0.034289,0.057389,0.20499,0.065281,"Oxidative phosphorylation"
"g_00012",49.589714,7.011237,7.778856,0.072895,0.52717,0.034289,0.057389,0.20499,0.065281,"Parkinson disease"
"g_00012",49.589714,7.011237,7.778856,0.072895,0.52717,0.034289,0.057389,0.20499,0.065281,"Amyotrophic lateral sclerosis"
"g_00012",49.589714,7.011237,7.778856,0.072895,0.52717,0.034289,0.057389,0.20499,0.065281,"Prion disease"
"g_00012",49.589714,7.011237,7.778856,0.072895,0.52717,0.034289,0.057389,0.20499,0.065281,"Thermogenesis"
"g_00012",49.589714,7.011237,7.778856,0.072895,0.52717,0.034289,0.057389,0.20499,0.065281,"Non-alcoholic fatty liver disease"
"g_00012",49.589714,7.011237,7.778856,0.072895,0.52717,0.034289,0.057389,0.20499,0.065281,"Alzheimer disease"
"g_00012",49.589714,7.011237,7.778856,0.072895,0.52717,0.034289,0.057389,0.20499,0.065281,"Chemical carcinogenesis - reactive oxygen species"
"g_00012",49.589714,7.011237,7.778856,0.072895,0.52717,0.034289,0.057389,0.20499,0.065281,"Diabetic cardiomyopathy"
"g_00012",49.589714,7.011237,7.778856,0.072895,0.52717,0.034289,0.057389,0.20499,0.065281,"Pathways of neurodegeneration - multiple diseases"
"g_00012",49.589714,7.011237,7.778856,0.072895,0.52717,0.034289,0.057389,0.20499,0.065281,"Huntington disease"
"g_00012",49.589714,7.011237,7.778856,0.072895,0.52717,0.034289,0.057389,0.20499,0.065281,"Retrograde endocannabinoid signaling"
"g_00015",18.877369,7.406828,9.358358,0.064236,0.154016,0.146482,0.045213,0.160257,0.028763,"Pentose phosphate pathway"
"g_00015",18.877369,7.406828,9.358358,0.064236,0.154016,0.146482,0.045213,0.160257,0.028763,"Purine metabolism"
"g_00016",16.00468,8.270239,8.899536,0.269722,0.040936,0.051254,1.244486,2.144221,0.043309,"Valine, leucine and isoleucine biosynthesis"
"g_00016",16.00468,8.270239,8.899536,0.269722,0.040936,0.051254,1.244486,2.144221,0.043309,"Pantothenate and CoA biosynthesis"
"g_00016",16.00468,8.270239,8.899536,0.269722,0.040936,0.051254,1.244486,2.144221,0.043309,"Cysteine and methionine metabolism"
"g_00016",16.00468,8.270239,8.899536,0.269722,0.040936,0.051254,1.244486,2.144221,0.043309,"Glucosinolate biosynthesis"
"g_00016",16.00468,8.270239,8.899536,0.269722,0.040936,0.051254,1.244486,2.144221,0.043309,"Amino acid related enzymes"
"g_00016",16.00468,8.270239,8.899536,0.269722,0.040936,0.051254,1.244486,2.144221,0.043309,"Valine, leucine and isoleucine degradation"
"g_00017",8.418909,1.731508,1.488221,0,0,0.048959,0,0.178328,0.05679,"N-Glycan biosynthesis"
"g_00017",8.418909,1.731508,1.488221,0,0,0.048959,0,0.178328,0.05679,"Protein processing in endoplasmic reticulum"
"g_00017",8.418909,1.731508,1.488221,0,0,0.048959,0,0.178328,0.05679,"Various types of N-glycan biosynthesis"
"g_00023",9.802654,2.521712,1.886239,0.070644,0.11863,0.139965,0.055616,0.107681,0.046925,"DNA repair and recombination proteins"
"g_00035",2.727755,4.920931,3.862216,1.043284,1.031043,1.667154,1.248659,1.764322,1.647492,"Peptidases and inhibitors"
"g_00036",22.566459,7.364074,5.758208,0.056881,0.224866,0.290694,0.238443,0,0.157,"Alzheimer disease"
"g_00036",22.566459,7.364074,5.758208,0.056881,0.224866,0.290694,0.238443,0,0.157,"Huntington disease"
"g_00036",22.566459,7.364074,5.758208,0.056881,0.224866,0.290694,0.238443,0,0.157,"Proteasome"
"g_00036",22.566459,7.364074,5.758208,0.056881,0.224866,0.290694,0.238443,0,0.157,"Pathways of neurodegeneration - multiple diseases"
"g_00036",22.566459,7.364074,5.758208,0.056881,0.224866,0.290694,0.238443,0,0.157,"Proteasome"
"g_00036",22.566459,7.364074,5.758208,0.056881,0.224866,0.290694,0.238443,0,0.157,"Epstein-Barr virus infection"
"g_00036",22.566459,7.364074,5.758208,0.056881,0.224866,0.290694,0.238443,0,0.157,"Prion disease"
"g_00036",22.566459,7.364074,5.758208,0.056881,0.224866,0.290694,0.238443,0,0.157,"Amyotrophic lateral sclerosis"
"g_00036",22.566459,7.364074,5.758208,0.056881,0.224866,0.290694,0.238443,0,0.157,"Spinocerebellar ataxia"
"g_00036",22.566459,7.364074,5.758208,0.056881,0.224866,0.290694,0.238443,0,0.157,"Parkinson disease"
"g_00044",47.934928,13.308083,8.338531,0.136741,0.156767,0.665592,0.134388,0.24246,0.151855,"Peptidases and inhibitors"
"g_00044",47.934928,13.308083,8.338531,0.136741,0.156767,0.665592,0.134388,0.24246,0.151855,"Autophagy - yeast"
"g_00051",9.350611,2.934975,0.625679,0.071601,0.112894,0.148576,0.038953,0.1171,0.112053,"Longevity regulating pathway"
"g_00051",9.350611,2.934975,0.625679,0.071601,0.112894,0.148576,0.038953,0.1171,0.112053,"Protein kinases"
"g_00051",9.350611,2.934975,0.625679,0.071601,0.112894,0.148576,0.038953,0.1171,0.112053,"AMPK signaling pathway"
"g_00051",9.350611,2.934975,0.625679,0.071601,0.112894,0.148576,0.038953,0.1171,0.112053,"Autophagy - animal"
"g_00051",9.350611,2.934975,0.625679,0.071601,0.112894,0.148576,0.038953,0.1171,0.112053,"Adipocytokine signaling pathway"
"g_00051",9.350611,2.934975,0.625679,0.071601,0.112894,0.148576,0.038953,0.1171,0.112053,"Alcoholism"
"g_00051",9.350611,2.934975,0.625679,0.071601,0.112894,0.148576,0.038953,0.1171,0.112053,"Alcoholic liver disease"
"g_00051",9.350611,2.934975,0.625679,0.071601,0.112894,0.148576,0.038953,0.1171,0.112053,"Oxytocin signaling pathway"
"g_00054",4.250577,4.774821,4.156615,0,0.075943,0,0.083923,0,0.06006,"Enzymes with EC numbers"
"g_00060",4.28399,2.266707,1.896508,0.125662,0.114164,0.145608,0.288398,0.099,0.056549,"Protein kinases"
"g_00060",4.28399,2.266707,1.896508,0.125662,0.114164,0.145608,0.288398,0.099,0.056549,"MAPK signaling pathway - yeast"
"g_00063",27.514109,8.568295,4.806892,0.195662,0.626807,0.837636,0.599615,0.21887,0.218792,"Peroxisome"
"g_00063",27.514109,8.568295,4.806892,0.195662,0.626807,0.837636,0.599615,0.21887,0.218792,"Fatty acid degradation"
"g_00063",27.514109,8.568295,4.806892,0.195662,0.626807,0.837636,0.599615,0.21887,0.218792,"Valine, leucine and isoleucine degradation"
"g_00063",27.514109,8.568295,4.806892,0.195662,0.626807,0.837636,0.599615,0.21887,0.218792,"Biosynthesis of unsaturated fatty acids"
"g_00063",27.514109,8.568295,4.806892,0.195662,0.626807,0.837636,0.599615,0.21887,0.218792,"alpha-Linolenic acid metabolism"
"g_00063",27.514109,8.568295,4.806892,0.195662,0.626807,0.837636,0.599615,0.21887,0.218792,"PPAR signaling pathway"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Epstein-Barr virus infection"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Proteasome"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Prion disease"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Alzheimer disease"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Parkinson disease"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Huntington disease"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Amyotrophic lateral sclerosis"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Proteasome"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Spinocerebellar ataxia"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Pathways of neurodegeneration - multiple diseases"
"g_00081",24.135737,3.240557,2.907688,0.971211,1.295784,1.157983,0.387896,0.171413,2.336048,"Transporters"
"g_00082",13.968003,4.805663,3.822073,0.139303,0.362773,0.27849,0.040309,0,0.268092,"Transporters"
"g_00083",5.752404,2.947254,3.829662,0.067902,0.134351,0.052424,0.701325,0.570526,0.070072,"Valine, leucine and isoleucine degradation"
"g_00083",5.752404,2.947254,3.829662,0.067902,0.134351,0.052424,0.701325,0.570526,0.070072,"Propanoate metabolism"
"g_00089",2.68055,6.261425,4.89973,0.149256,0.524158,0.25231,0.045133,0.027698,0.160069,"DNA repair and recombination proteins"
"g_00089",2.68055,6.261425,4.89973,0.149256,0.524158,0.25231,0.045133,0.027698,0.160069,"Transcription machinery"
"g_00089",2.68055,6.261425,4.89973,0.149256,0.524158,0.25231,0.045133,0.027698,0.160069,"RNA polymerase"
"g_00093",1.797876,4.245988,4.993294,0.519817,0.360433,0.658813,0.632616,1.145969,0.323218,"One carbon pool by folate"
"g_00094",4.055572,6.686589,8.173127,0.20232,0,0.238701,0.079641,0.095035,0,"SNARE interactions in vesicular transport"
"g_00094",4.055572,6.686589,8.173127,0.20232,0,0.238701,0.079641,0.095035,0,"Synaptic vesicle cycle"
"g_00094",4.055572,6.686589,8.173127,0.20232,0,0.238701,0.079641,0.095035,0,"Membrane trafficking"
"g_00094",4.055572,6.686589,8.173127,0.20232,0,0.238701,0.079641,0.095035,0,"Exosome"
"g_00095",24.455006,5.491925,3.582239,0.122877,0.165506,0.198722,0.122993,0.175258,0.01343,"Spliceosome"
"g_00095",24.455006,5.491925,3.582239,0.122877,0.165506,0.198722,0.122993,0.175258,0.01343,"Messenger RNA biogenesis"
"g_00096",17.689876,6.094256,8.137536,0,0,0,3.200393,2.718922,0.079737,"Ribosome"
"g_00096",17.689876,6.094256,8.137536,0,0,0,3.200393,2.718922,0.079737,"Ribosome"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Proteasome"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Huntington disease"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Epstein-Barr virus infection"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Amyotrophic lateral sclerosis"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Alzheimer disease"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Pathways of neurodegeneration - multiple diseases"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Prion disease"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Proteasome"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Parkinson disease"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Spinocerebellar ataxia"
"g_00099",5.453701,3.107994,5.264323,0.19631,0,0.1107,0.13662,0,0,"Messenger RNA biogenesis"
"g_00105",5.899153,10.851225,13.504314,1.922676,2.691299,1.274304,1.643598,2.035714,1.250511,"Citrate cycle (TCA cycle)"
"g_00105",5.899153,10.851225,13.504314,1.922676,2.691299,1.274304,1.643598,2.035714,1.250511,"Glyoxylate and dicarboxylate metabolism"
"g_00106",8.293552,3.04594,3.906757,11.239117,9.848364,23.4115,11.499717,3.648554,5.014843,"Carbon fixation in photosynthetic organisms"
"g_00106",8.293552,3.04594,3.906757,11.239117,9.848364,23.4115,11.499717,3.648554,5.014843,"Salmonella infection"
"g_00106",8.293552,3.04594,3.906757,11.239117,9.848364,23.4115,11.499717,3.648554,5.014843,"Exosome"
"g_00106",8.293552,3.04594,3.906757,11.239117,9.848364,23.4115,11.499717,3.648554,5.014843,"Membrane trafficking"
"g_00106",8.293552,3.04594,3.906757,11.239117,9.848364,23.4115,11.499717,3.648554,5.014843,"Pathogenic Escherichia coli infection"
"g_00106",8.293552,3.04594,3.906757,11.239117,9.848364,23.4115,11.499717,3.648554,5.014843,"Glycolysis / Gluconeogenesis"
"g_00106",8.293552,3.04594,3.906757,11.239117,9.848364,23.4115,11.499717,3.648554,5.014843,"Diabetic cardiomyopathy"
"g_00106",8.293552,3.04594,3.906757,11.239117,9.848364,23.4115,11.499717,3.648554,5.014843,"Alzheimer disease"
"g_00106",8.293552,3.04594,3.906757,11.239117,9.848364,23.4115,11.499717,3.648554,5.014843,"HIF-1 signaling pathway"
"g_00110",12.005929,3.231936,3.48716,0.089072,0,0.17289,0.248233,0.059321,0.169646,"Huntington disease"
"g_00110",12.005929,3.231936,3.48716,0.089072,0,0.17289,0.248233,0.059321,0.169646,"Proteasome"
"g_00110",12.005929,3.231936,3.48716,0.089072,0,0.17289,0.248233,0.059321,0.169646,"Proteasome"
"g_00110",12.005929,3.231936,3.48716,0.089072,0,0.17289,0.248233,0.059321,0.169646,"Pathways of neurodegeneration - multiple diseases"
"g_00110",12.005929,3.231936,3.48716,0.089072,0,0.17289,0.248233,0.059321,0.169646,"Epstein-Barr virus infection"
"g_00110",12.005929,3.231936,3.48716,0.089072,0,0.17289,0.248233,0.059321,0.169646,"Spinocerebellar ataxia"
"g_00110",12.005929,3.231936,3.48716,0.089072,0,0.17289,0.248233,0.059321,0.169646,"Amyotrophic lateral sclerosis"
"g_00110",12.005929,3.231936,3.48716,0.089072,0,0.17289,0.248233,0.059321,0.169646,"Prion disease"
"g_00110",12.005929,3.231936,3.48716,0.089072,0,0.17289,0.248233,0.059321,0.169646,"Parkinson disease"
"g_00110",12.005929,3.231936,3.48716,0.089072,0,0.17289,0.248233,0.059321,0.169646,"Alzheimer disease"
"g_00111",5.3309,10.575518,8.503859,1.641145,1.300598,1.199222,0.949762,1.765592,0.855927,"Chaperones and folding catalysts"
"g_00111",5.3309,10.575518,8.503859,1.641145,1.300598,1.199222,0.949762,1.765592,0.855927,"Chromosome and associated proteins"
"g_00112",17.784271,8.508187,8.251772,0,0.031026,0.050774,0.021965,0.026939,0.043923,"Ribosome biogenesis in eukaryotes"
"g_00112",17.784271,8.508187,8.251772,0,0.031026,0.050774,0.021965,0.026939,0.043923,"Ribosome biogenesis"
"g_00113",7.314706,5.822808,4.963866,0.194386,0.028705,0.044063,0.556235,0.713737,0,"Human T-cell leukemia virus 1 infection"
"g_00115",11.708383,5.084292,3.913729,0,0,0.200566,0.16845,0.067003,0.0368,"Amino acid related enzymes"
"g_00115",11.708383,5.084292,3.913729,0,0,0.200566,0.16845,0.067003,0.0368,"Tryptophan metabolism"
"g_00117",6.551834,0.882882,1.657056,0,0,0.110406,0.722013,0.592113,0.055488,"Oxidative phosphorylation"
"g_00118",4.92218,7.888781,5.593261,1.155863,2.47769,1.412548,2.61626,2.364137,1.794728,"General function prediction only"
"g_00126",4.635682,1.838725,2.215188,0,0,0.021893,0.625099,0.856202,0.118904,"Glycerophospholipid metabolism"
"g_00126",4.635682,1.838725,2.215188,0,0,0.021893,0.625099,0.856202,0.118904,"Phosphonate and phosphinate metabolism"
