"gene_id","Blue1","Blue2","Blue3","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","level3_pathway_name"
"g_00005",18.961999,4.942066,2.640825,0.06334,0.172952,0,0,0,0,"Peroxisome"
"g_00005",18.961999,4.942066,2.640825,0.06334,0.172952,0,0,0,0,"Glyoxylate and dicarboxylate metabolism"
"g_00016",16.00468,8.270239,8.899536,0.269722,0.040936,0.051254,1.244486,2.144221,0.043309,"Glucosinolate biosynthesis"
"g_00016",16.00468,8.270239,8.899536,0.269722,0.040936,0.051254,1.244486,2.144221,0.043309,"Pantothenate and CoA biosynthesis"
"g_00016",16.00468,8.270239,8.899536,0.269722,0.040936,0.051254,1.244486,2.144221,0.043309,"Cysteine and methionine metabolism"
"g_00016",16.00468,8.270239,8.899536,0.269722,0.040936,0.051254,1.244486,2.144221,0.043309,"Valine, leucine and isoleucine biosynthesis"
"g_00016",16.00468,8.270239,8.899536,0.269722,0.040936,0.051254,1.244486,2.144221,0.043309,"Valine, leucine and isoleucine degradation"
"g_00016",16.00468,8.270239,8.899536,0.269722,0.040936,0.051254,1.244486,2.144221,0.043309,"Amino acid related enzymes"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Amyotrophic lateral sclerosis"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Proteasome"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Pathways of neurodegeneration - multiple diseases"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Prion disease"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Proteasome"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Epstein-Barr virus infection"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Huntington disease"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Parkinson disease"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Alzheimer disease"
"g_00071",25.965625,10.372978,10.762415,0.059428,0.057943,0.133221,7.338102,5.509588,0.856466,"Spinocerebellar ataxia"
"g_00083",5.752404,2.947254,3.829662,0.067902,0.134351,0.052424,0.701325,0.570526,0.070072,"Valine, leucine and isoleucine degradation"
"g_00083",5.752404,2.947254,3.829662,0.067902,0.134351,0.052424,0.701325,0.570526,0.070072,"Propanoate metabolism"
"g_00096",17.689876,6.094256,8.137536,0,0,0,3.200393,2.718922,0.079737,"Ribosome"
"g_00096",17.689876,6.094256,8.137536,0,0,0,3.200393,2.718922,0.079737,"Ribosome"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Proteasome"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Pathways of neurodegeneration - multiple diseases"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Epstein-Barr virus infection"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Spinocerebellar ataxia"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Amyotrophic lateral sclerosis"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Huntington disease"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Prion disease"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Alzheimer disease"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Parkinson disease"
"g_00098",5.757498,2.450676,2.876155,0,0,0,0.205648,0,0.081203,"Proteasome"
"g_00126",4.635682,1.838725,2.215188,0,0,0.021893,0.625099,0.856202,0.118904,"Phosphonate and phosphinate metabolism"
"g_00126",4.635682,1.838725,2.215188,0,0,0.021893,0.625099,0.856202,0.118904,"Glycerophospholipid metabolism"
"g_00128",4.010299,1.383827,1.458308,0.026056,0.080123,0,1.522447,0.979338,0.161321,"Membrane trafficking"
"g_00152",13.713808,6.075226,5.862727,0.343197,0,0.20393,1.993157,2.572464,0.345817,"Terpenoid backbone biosynthesis"
"g_00160",12.613936,4.510473,7.295919,0,0.057571,0.049169,1.881844,2.399715,0.271946,"Enzymes with EC numbers"
"g_00166",4.480193,3.468474,2.838521,0,0,0,0.489729,0.112766,0.089678,"Peroxisome"
"g_00184",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"HIF-1 signaling pathway"
"g_00184",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"Mineral absorption"
"g_00184",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"Ferroptosis"
"g_00184",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"Chemical carcinogenesis - reactive oxygen species"
"g_00184",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"MicroRNAs in cancer"
"g_00184",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"Hepatocellular carcinoma"
"g_00184",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"Fluid shear stress and atherosclerosis"
"g_00184",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"Pathways in cancer"
"g_00184",6.927883,8.112346,4.603714,0.065509,0,0,0.997836,0.849777,0,"Porphyrin metabolism"
"g_00198",6.033961,2.278727,3.237546,0,0.030865,0.088227,0.984506,0.410656,0.172643,"Alcoholic liver disease"
