"gene_id","Blue1","Blue2","Blue3","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","ko_des","expre","Modularity class"
"g_23253",25.597571,18.222548,17.928371,0.087502,0.163238,0.211652,6.853487,5.788129,1.288125,"glucose-6-phosphate isomerase",4.643247,0
"g_35882",27.994088,8.068348,11.023732,0.187023,0.206637,0.122768,5.657676,4.749383,0.337401,"Ras-related C3 botulinum toxin substrate 1",3.58148666666667,0
"g_07359",27.418505,12.842808,11.805535,0.13963,0.24994,0,4.389455,5.913748,0.313853,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5",3.53901866666667,0
"g_47487",45.551522,18.40767,26.977088,0.07304,0.42658,0.092823,10.23676,10.859265,2.591789,"ubiquinol-cytochrome c reductase subunit 6",7.895938,1
"g_45913",47.297117,21.477001,24.815387,0.710827,0.392625,0.453272,9.700732,8.538909,0.309054,"Ras-related C3 botulinum toxin substrate 1",6.18289833333333,1
"g_10712",40.272023,14.674549,17.132556,0,0.163937,0.12054,6.90338,7.66825,0.308678,"NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein",4.96010266666667,1
"g_50676",75.641794,37.972355,45.496187,0.490747,0.418943,0.192957,8.791045,8.823389,2.84591,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8",6.82011466666667,2
"g_06353",80.714483,38.059096,35.380575,1.174122,0.349597,0,7.622882,10.424083,0.8618,"F-type H+-transporting ATPase subunit O",6.30292166666667,2
"g_33597",33.606974,16.516017,17.138476,0.538378,0.152474,0.290688,9.08705,8.80656,0.707011,"guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1",6.200207,2
"g_51140",13.667329,7.058291,7.519328,0.138461,0.093719,0.218611,6.033024,7.495722,0.937425,"aldehyde dehydrogenase (NAD+)",4.822057,3
"g_16429",5.300315,3.096687,3.108419,0.108088,0,0.049565,4.046257,5.632092,0.529944,"phenylalanine-4-hydroxylase",3.40276433333333,3
"g_47423",14.317868,3.031594,3.236073,0.122729,0,0.321538,5.193447,3.774442,0.225532,"phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",3.06447366666667,3
