"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label"
"g_00005",58.5962973889173,-2.65451816179453,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_00016",-19.2274993647983,-27.9950032634889,"Cluster 3","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_00028",63.9023476339308,9.38984652257634,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_00048",7.42693088358897,-39.1448337257739,"Cluster 3","Cluster 10","Cluster 6","Cluster 7","Cluster 1"
"g_00071",19.5126746016649,-45.2762593594316,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_00083",-36.5758512761312,12.4985281474927,"Cluster 7","Cluster 7","Cluster 8","Cluster 2","Cluster 1"
"g_00096",5.275630021095,-33.9612797687945,"Cluster 3","Cluster 10","Cluster 6","Cluster 6","Cluster 1"
"g_00098",-47.9711548163094,29.7809532031406,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_00120",4.72848946957182,-25.8506296995862,"Cluster 3","Cluster 10","Cluster 6","Cluster 6","Cluster 1"
"g_00121",-18.94407603779,-21.8712312516526,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_00123",3.03083253503573,-49.0509839691988,"Cluster 3","Cluster 2","Cluster 6","Cluster 7","Cluster 1"
"g_00126",-44.4100522365994,1.05813992602065,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_00128",-13.2071503586521,-4.22867833501713,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_00133",7.22222966815296,-39.3689236679111,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_00141",-54.9634149118291,18.7594835259292,"Cluster 7","Cluster 7","Cluster 2","Cluster 7","Cluster 1"
"g_00146",-6.95165125135501,-8.28004105326955,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_00152",-4.50737504826986,-28.8480439628357,"Cluster 3","Cluster 10","Cluster 6","Cluster 6","Cluster 1"
"g_00155",1.51284848048711,-26.6496627338401,"Cluster 3","Cluster 10","Cluster 6","Cluster 6","Cluster 1"
"g_00160",-8.92240718861301,-29.3996155602885,"Cluster 7","Cluster 10","Cluster 6","Cluster 6","Cluster 1"
"g_00166",-38.2805061250596,27.74057107046,"Cluster 7","Cluster 7","Cluster 2","Cluster 7","Cluster 1"
"g_00179",8.73048388487268,-46.7207532233712,"Cluster 3","Cluster 2","Cluster 6","Cluster 7","Cluster 1"
"g_00184",-26.6292220119617,3.50592929756566,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_00198",-27.9131841190939,15.2757879375666,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_00200",-50.8232379096343,32.4099264511316,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_00201",-22.6228888166152,-12.9825209369223,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_00216",24.216654267544,-48.1438922400091,"Cluster 3","Cluster 2","Cluster 6","Cluster 7","Cluster 1"
"g_00219",-46.2563301097257,-4.3315528468424,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_00241",32.7724963170991,-28.1357604169693,"Cluster 8","Cluster 2","Cluster 3","Cluster 3","Cluster 1"
"g_00243",27.4743988682257,2.98956806565576,"Cluster 1","Cluster 6","Cluster 1","Cluster 5","Cluster 2"
"g_00253",-10.0688460217617,-38.9520101326715,"Cluster 3","Cluster 10","Cluster 6","Cluster 6","Cluster 1"
"g_00254",-18.7886295574495,3.86881445753386,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_00260",-3.43082814172883,-40.8776139448183,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_00287",59.5871730342904,12.0612480583892,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_00305",-4.89986737892996,-17.1457300054869,"Cluster 3","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_00366",-41.2946163019694,9.90803322153896,"Cluster 7","Cluster 7","Cluster 2","Cluster 2","Cluster 1"
"g_00372",-2.50990637460835,-33.2609986803795,"Cluster 3","Cluster 10","Cluster 6","Cluster 6","Cluster 1"
"g_00382",-14.7768648771706,-0.726528407284329,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_00383",-18.883708235105,-11.0032533059121,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_00386",-19.6772455059924,-31.0083784897423,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
"g_00387",-56.8163271052222,17.4173554014253,"Cluster 7","Cluster 7","Cluster 2","Cluster 2","Cluster 1"
"g_00392",-18.7473680977405,3.42055775357441,"Cluster 7","Cluster 10","Cluster 8","Cluster 2","Cluster 1"
"g_00400",42.6304654686669,-25.322681463091,"Cluster 8","Cluster 8","Cluster 3","Cluster 3","Cluster 3"
"g_00406",-43.9734605484605,28.8439160123237,"Cluster 7","Cluster 7","Cluster 2","Cluster 1","Cluster 1"
"g_00425",-3.77705972230502,-41.0366064152284,"Cluster 3","Cluster 2","Cluster 6","Cluster 6","Cluster 1"
"g_00434",28.7602472166805,-41.8472317447657,"Cluster 3","Cluster 2","Cluster 3","Cluster 6","Cluster 1"
"g_00435",-10.8668186375114,-13.489961976552,"Cluster 7","Cluster 10","Cluster 8","Cluster 7","Cluster 1"
