"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label","Sig0alP","tmhmm","SwissProt_ID","SwissProt_Description","Blue1","Blue2","Blue3","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","query_ko","pathway_count","level1_pathway_id","level1_pathway_name","level2_pathway_id","level2_pathway_name","level3_pathway_id","level3_pathway_name","ko","ko_name","ko_des","ec"
"g_24930",-35.9559391193378,-19.2025125080493,"Cluster 4","Cluster 4","Cluster 1","Cluster 1","Cluster 3",0,0,NA,NA,2.412453,3.171607,3.43142,40.126576,36.598914,63.534188,49.181344,24.296155,30.196713,"K00799",13,9160,"Human Diseases",9161,"Cancer: overview",5208,"Chemical carcinogenesis - reactive oxygen species","K00799","GST, gst","glutathione S-transferase","[EC:2.5.1.18]"
"g_26961",-49.3257454580891,-4.00528989865976,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 4",0,1,"O31215.2","RecName: Full=Cytochrome b",10.731651,12.358376,9.894007,372.494419,388.766099,413.882499,261.39488,221.98411,285.763433,"K00412",14,9160,"Human Diseases",9161,"Cancer: overview",5208,"Chemical carcinogenesis - reactive oxygen species","K00412","CYTB, petB","ubiquinol-cytochrome c reductase cytochrome b subunit","-"
"g_29251",-49.3709795346159,-16.9439206195867,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,"P0ACA2.1","RecName: Full=Uncharacterized GST-like protein YibF >P0ACA1.1 RecName: Full=Uncharacterized GST-like protein YibF",4.303557,4.679188,4.262443,90.273614,97.518026,162.635789,131.131014,96.033478,133.01872,"K00799",13,9160,"Human Diseases",9161,"Cancer: overview",5208,"Chemical carcinogenesis - reactive oxygen species","K00799","GST, gst","glutathione S-transferase","[EC:2.5.1.18]"
"g_41985",-50.8323693978221,3.05452926550308,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 3",0,0,"Q9RUV2.3","RecName: Full=Superoxide dismutase",88.51922,163.638073,225.939181,1852.313693,2007.431321,1745.861174,2833.028667,1488.565046,440.349277,"K04564",9,9160,"Human Diseases",9161,"Cancer: overview",5208,"Chemical carcinogenesis - reactive oxygen species","K04564","SOD2","superoxide dismutase, Fe-Mn family","[EC:1.15.1.1]"
"g_05066",-50.1512983516898,2.02586195445743,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,"P06179.4","RecName: Full=Flagellin; AltName: Full=Phase 1-I flagellin",53.302695,55.998884,38.928972,1953.276959,2101.643904,1366.705938,1096.40196,1958.526254,1983.244046,"K02406",8,9140,"Cellular Processes",9142,"Cell motility",2040,"Flagellar assembly","K02406","fliC, hag","flagellin","-"
"g_06237",-51.7259769742572,-14.164950753386,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,"P06974.1","RecName: Full=Flagellar motor switch protein FliM",7.56126,5.484225,6.299946,81.723877,133.246493,114.539549,57.114972,33.057745,53.327975,"K02416",3,9140,"Cellular Processes",9142,"Cell motility",2040,"Flagellar assembly","K02416","fliM","flagellar motor switch protein FliM","-"
"g_10722",-37.7758290309721,-20.1538417296206,"Cluster 4","Cluster 4","Cluster 1","Cluster 1","Cluster 2",0,0,"P52612.2","RecName: Full=Flagellum-specific ATP synthase",2.226393,2.239597,1.950058,43.655957,71.258598,46.206903,30.479313,33.750377,44.949224,"K02412",3,9140,"Cellular Processes",9142,"Cell motility",2040,"Flagellar assembly","K02412","fliI","flagellum-specific ATP synthase","[EC:7.4.2.8]"
"g_14330",-36.6533387527502,-20.1143146361439,"Cluster 4","Cluster 4","Cluster 1","Cluster 1","Cluster 2",0,1,"P40727.1","RecName: Full=Flagellar biosynthetic protein FlhB",2.60475,1.991417,2.12738,32.023993,63.503419,35.348856,24.062753,20.183294,20.726204,"K02401",3,9140,"Cellular Processes",9142,"Cell motility",2040,"Flagellar assembly","K02401","flhB","flagellar biosynthesis protein FlhB","-"
"g_14403",-52.5236511501111,0.965215903246533,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 3",0,0,"P72151.2","RecName: Full=B-type flagellin",220.149371,90.216761,96.548731,577.647581,327.862215,629.061062,725.972483,531.707927,1236.992292,"K02406",8,9140,"Cellular Processes",9142,"Cell motility",2040,"Flagellar assembly","K02406","fliC, hag","flagellin","-"
"g_19622",-40.7986961759267,-20.1986528472675,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,1,"P39064.1","RecName: Full=Uncharacterized protein YtxE",2.753052,3.171594,1.586333,75.365211,87.441114,58.314029,89.61337,91.661272,126.885111,"K02557",4,9140,"Cellular Processes",9142,"Cell motility",2040,"Flagellar assembly","K02557","motB","chemotaxis protein MotB","-"
