"gene_id","Sig0alP","tmhmm","SwissProt_ID","SwissProt_Description","Blue1","Blue2","Blue3","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","level3_pathway_name","ko","ko_name","ko_des"
"g_09515",0,0,"P09152.4","RecName: Full=Respiratory nitrate reductase 1 alpha chain; AltName: Full=Nitrate reductase A subunit alpha; AltName: Full=Quinol-nitrate oxidoreductase subunit alpha",5.599956,3.068828,1.880122,0.022615,0.086557,0.078536,0.017199,0.048424,0.395572,"Transporters","K00370","narG, narZ, nxrA","nitrate reductase / nitrite oxidoreductase, alpha subunit"
"g_09515",0,0,"P09152.4","RecName: Full=Respiratory nitrate reductase 1 alpha chain; AltName: Full=Nitrate reductase A subunit alpha; AltName: Full=Quinol-nitrate oxidoreductase subunit alpha",5.599956,3.068828,1.880122,0.022615,0.086557,0.078536,0.017199,0.048424,0.395572,"Two-component system","K00370","narG, narZ, nxrA","nitrate reductase / nitrite oxidoreductase, alpha subunit"
"g_09515",0,0,"P09152.4","RecName: Full=Respiratory nitrate reductase 1 alpha chain; AltName: Full=Nitrate reductase A subunit alpha; AltName: Full=Quinol-nitrate oxidoreductase subunit alpha",5.599956,3.068828,1.880122,0.022615,0.086557,0.078536,0.017199,0.048424,0.395572,"Nitrogen metabolism","K00370","narG, narZ, nxrA","nitrate reductase / nitrite oxidoreductase, alpha subunit"
"g_11644",0,0,"P09152.4","RecName: Full=Respiratory nitrate reductase 1 alpha chain; AltName: Full=Nitrate reductase A subunit alpha; AltName: Full=Quinol-nitrate oxidoreductase subunit alpha",12.011783,1.574112,1.212254,0.082781,0.208123,0.088154,0.166473,0.099304,0.185826,"Two-component system","K00370","narG, narZ, nxrA","nitrate reductase / nitrite oxidoreductase, alpha subunit"
"g_11644",0,0,"P09152.4","RecName: Full=Respiratory nitrate reductase 1 alpha chain; AltName: Full=Nitrate reductase A subunit alpha; AltName: Full=Quinol-nitrate oxidoreductase subunit alpha",12.011783,1.574112,1.212254,0.082781,0.208123,0.088154,0.166473,0.099304,0.185826,"Transporters","K00370","narG, narZ, nxrA","nitrate reductase / nitrite oxidoreductase, alpha subunit"
"g_11644",0,0,"P09152.4","RecName: Full=Respiratory nitrate reductase 1 alpha chain; AltName: Full=Nitrate reductase A subunit alpha; AltName: Full=Quinol-nitrate oxidoreductase subunit alpha",12.011783,1.574112,1.212254,0.082781,0.208123,0.088154,0.166473,0.099304,0.185826,"Nitrogen metabolism","K00370","narG, narZ, nxrA","nitrate reductase / nitrite oxidoreductase, alpha subunit"
"g_17207",0,0,"P42433.2","RecName: Full=Assimilatory nitrate reductase electron transfer subunit",1.725905,2.202552,2.01671,0.463312,0.81667,0.35894,0.803682,0.63584,0.578397,"Nitrogen metabolism","K00362","nirB","nitrite reductase (NADH) large subunit"
"g_18203",0,0,"P19318.2","RecName: Full=Respiratory nitrate reductase 2 beta chain",2.4547,3.605713,6.340323,0.751292,0.683011,0.852569,0.919915,2.069502,0.605993,"Transporters","K00371","narH, narY, nxrB","nitrate reductase / nitrite oxidoreductase, beta subunit"
"g_18203",0,0,"P19318.2","RecName: Full=Respiratory nitrate reductase 2 beta chain",2.4547,3.605713,6.340323,0.751292,0.683011,0.852569,0.919915,2.069502,0.605993,"Nitrogen metabolism","K00371","narH, narY, nxrB","nitrate reductase / nitrite oxidoreductase, beta subunit"
"g_18203",0,0,"P19318.2","RecName: Full=Respiratory nitrate reductase 2 beta chain",2.4547,3.605713,6.340323,0.751292,0.683011,0.852569,0.919915,2.069502,0.605993,"Two-component system","K00371","narH, narY, nxrB","nitrate reductase / nitrite oxidoreductase, beta subunit"
