"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label","Sig0alP","tmhmm","SwissProt_ID","SwissProt_Description","Blue1","Blue2","Blue3","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","query_ko","pathway_count","level1_pathway_id","level1_pathway_name","level2_pathway_id","level2_pathway_name","level3_pathway_id","level3_pathway_name","ko","ko_name","ko_des","ec"
"g_03874",3.92156775194214,18.904345488653,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 3",0,0,"A9IGC3.1","RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",12.88546,15.054567,15.612227,806.589706,193.866567,1406.451135,4283.994758,4039.799005,4039.174413,"K04043",7,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3110,"Chaperones and folding catalysts","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_22023",2.77259772249038,18.8762142026932,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 3",0,0,"Q7WQ31.1","RecName: Full=Chaperone protein HtpG; AltName: Full=Heat shock protein HtpG; AltName: Full=High temperature protein G",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,"K04079",22,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3110,"Chaperones and folding catalysts","K04079","HSP90A, htpG","molecular chaperone HtpG","-"
"g_37568",-0.408453764174151,18.4217051615929,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 6",0,1,"Q9HVN5.1","RecName: Full=Chaperone protein ClpB",15.937906,17.082723,16.963016,56.339032,24.43568,68.99148,209.707334,115.681142,461.832089,"K03695",2,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3110,"Chaperones and folding catalysts","K03695","clpB","ATP-dependent Clp protease ATP-binding subunit ClpB","-"
"g_38292",1.89539004281579,18.8225138539741,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 6",0,0,"A4XYF6.1","RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",25.253207,34.122988,33.695529,159.277436,56.477976,159.163001,640.144679,247.106221,614.41659,"K04043",7,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3110,"Chaperones and folding catalysts","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_55811",-1.2322123950153,18.5878979541338,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 6",0,0,"A1U614.1","RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",34.559689,29.206774,53.652982,42.224677,26.435834,37.792393,73.61073,106.095608,360.142592,"K04043",7,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3110,"Chaperones and folding catalysts","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_03874",3.92156775194214,18.904345488653,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 3",0,0,"A9IGC3.1","RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",12.88546,15.054567,15.612227,806.589706,193.866567,1406.451135,4283.994758,4039.799005,4039.174413,"K04043",7,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_22023",2.77259772249038,18.8762142026932,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 3",0,0,"Q7WQ31.1","RecName: Full=Chaperone protein HtpG; AltName: Full=Heat shock protein HtpG; AltName: Full=High temperature protein G",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,"K04079",22,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K04079","HSP90A, htpG","molecular chaperone HtpG","-"
"g_38292",1.89539004281579,18.8225138539741,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 6",0,0,"A4XYF6.1","RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",25.253207,34.122988,33.695529,159.277436,56.477976,159.163001,640.144679,247.106221,614.41659,"K04043",7,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_55811",-1.2322123950153,18.5878979541338,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 6",0,0,"A1U614.1","RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",34.559689,29.206774,53.652982,42.224677,26.435834,37.792393,73.61073,106.095608,360.142592,"K04043",7,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_55969",-1.67696569364866,18.5644672181821,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 6",1,1,"O32064.1","RecName: Full=UPF0716 protein YtzA",26.231168,34.462386,33.961329,44.505491,16.174901,40.083485,86.914324,102.648488,255.246604,"K07113",1,9190,"Not Included in Pathway or Brite",9194,"Poorly characterized",99996,"General function prediction only","K07113","fxsA","UPF0716 protein FxsA","-"
"g_17714",1.14204757587133,18.6019019999153,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 6",0,0,"P0AEP8.2","RecName: Full=Glyoxylate carboligase; AltName: Full=Tartronate-semialdehyde synthase >P0AEP7.2 RecName: Full=Glyoxylate carboligase; AltName: Full=Tartronate-semialdehyde synthase",14.293872,19.166841,3.902077,61.070618,69.591687,101.985808,173.663812,361.169986,647.053359,"K01608",1,9100,"Metabolism",9101,"Carbohydrate metabolism",630,"Glyoxylate and dicarboxylate metabolism","K01608","gcl","tartronate-semialdehyde synthase","[EC:4.1.1.47]"
"g_37568",-0.408453764174151,18.4217051615929,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 6",0,1,"Q9HVN5.1","RecName: Full=Chaperone protein ClpB",15.937906,17.082723,16.963016,56.339032,24.43568,68.99148,209.707334,115.681142,461.832089,"K03695",2,9150,"Organismal Systems",9149,"Aging",4213,"Longevity regulating pathway - multiple species","K03695","clpB","ATP-dependent Clp protease ATP-binding subunit ClpB","-"
"g_03874",3.92156775194214,18.904345488653,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 3",0,0,"A9IGC3.1","RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",12.88546,15.054567,15.612227,806.589706,193.866567,1406.451135,4283.994758,4039.799005,4039.174413,"K04043",7,9150,"Organismal Systems",9149,"Aging",4212,"Longevity regulating pathway - worm","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_38292",1.89539004281579,18.8225138539741,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 6",0,0,"A4XYF6.1","RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",25.253207,34.122988,33.695529,159.277436,56.477976,159.163001,640.144679,247.106221,614.41659,"K04043",7,9150,"Organismal Systems",9149,"Aging",4212,"Longevity regulating pathway - worm","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_55811",-1.2322123950153,18.5878979541338,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 6",0,0,"A1U614.1","RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",34.559689,29.206774,53.652982,42.224677,26.435834,37.792393,73.61073,106.095608,360.142592,"K04043",7,9150,"Organismal Systems",9149,"Aging",4212,"Longevity regulating pathway - worm","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_03874",3.92156775194214,18.904345488653,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 3",0,0,"A9IGC3.1","RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",12.88546,15.054567,15.612227,806.589706,193.866567,1406.451135,4283.994758,4039.799005,4039.174413,"K04043",7,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3019,"Messenger RNA biogenesis","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_38292",1.89539004281579,18.8225138539741,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 6",0,0,"A4XYF6.1","RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",25.253207,34.122988,33.695529,159.277436,56.477976,159.163001,640.144679,247.106221,614.41659,"K04043",7,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3019,"Messenger RNA biogenesis","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_55811",-1.2322123950153,18.5878979541338,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 6",0,0,"A1U614.1","RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",34.559689,29.206774,53.652982,42.224677,26.435834,37.792393,73.61073,106.095608,360.142592,"K04043",7,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3019,"Messenger RNA biogenesis","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_03874",3.92156775194214,18.904345488653,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 3",0,0,"A9IGC3.1","RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",12.88546,15.054567,15.612227,806.589706,193.866567,1406.451135,4283.994758,4039.799005,4039.174413,"K04043",7,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3029,"Mitochondrial biogenesis","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_22023",2.77259772249038,18.8762142026932,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 3",0,0,"Q7WQ31.1","RecName: Full=Chaperone protein HtpG; AltName: Full=Heat shock protein HtpG; AltName: Full=High temperature protein G",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,"K04079",22,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3029,"Mitochondrial biogenesis","K04079","HSP90A, htpG","molecular chaperone HtpG","-"
"g_38292",1.89539004281579,18.8225138539741,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 6",0,0,"A4XYF6.1","RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",25.253207,34.122988,33.695529,159.277436,56.477976,159.163001,640.144679,247.106221,614.41659,"K04043",7,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3029,"Mitochondrial biogenesis","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_55811",-1.2322123950153,18.5878979541338,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 6",0,0,"A1U614.1","RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",34.559689,29.206774,53.652982,42.224677,26.435834,37.792393,73.61073,106.095608,360.142592,"K04043",7,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3029,"Mitochondrial biogenesis","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_11709",5.04585156722512,15.7533044730287,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 7",1,0,"Q8FX16.1","RecName: Full=Nitrous-oxide reductase; AltName: Full=N(2)OR; AltName: Full=N2O reductase; Flags: Precursor",1454.681112,1622.581039,1423.400992,209.88809,277.487337,359.045685,132.479494,119.154342,70.755547,"K00376",1,9100,"Metabolism",9102,"Energy metabolism",910,"Nitrogen metabolism","K00376","nosZ","nitrous-oxide reductase","[EC:1.7.2.4]"
"g_19066",6.69615968410504,13.5461409227037,"Cluster 5","Cluster 3","Cluster 7","Cluster 7","Cluster 5",0,1,"Q9RA46.2","RecName: Full=Probable nitrate/nitrite antiporter NarK1",0.419002,0.584383,0.241535,23.990741,583.200448,90.10109,15.469467,26.924066,48.422238,"K02575",2,9100,"Metabolism",9102,"Energy metabolism",910,"Nitrogen metabolism","K02575","NRT, narK, nrtP, nasA","MFS transporter, NNP family, nitrate/nitrite transporter","-"
