"gene_id","Sig0alP","tmhmm","SwissProt_ID","SwissProt_Description","Blue1","Blue2","Blue3","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","level3_pathway_name","ko","ko_name","ko_des"
"g_02100",0,1,"P19573.1","RecName: Full=Nitrous-oxide reductase; AltName: Full=N(2)OR; AltName: Full=N2O reductase; Flags: Precursor",1.316803,1.065872,1.786769,0.512981,3.715372,1.093017,0.064995,0.337229,0.204578,"Nitrogen metabolism","K00376","nosZ","nitrous-oxide reductase"
"g_05521",1,1,"Q04508.2","RecName: Full=Ammonia monooxygenase beta subunit; Short=AMO; AltName: Full=Heterotrimeric Cu-heme enzyme; Flags: Precursor",215.853475,413.767233,310.771846,16.063124,30.448946,10.948341,6.052045,5.497001,3.794343,"Nitrogen metabolism","K10945","pmoB-amoB","methane/ammonia monooxygenase subunit B"
"g_11709",1,0,"Q8FX16.1","RecName: Full=Nitrous-oxide reductase; AltName: Full=N(2)OR; AltName: Full=N2O reductase; Flags: Precursor",1454.681112,1622.581039,1423.400992,209.88809,277.487337,359.045685,132.479494,119.154342,70.755547,"Nitrogen metabolism","K00376","nosZ","nitrous-oxide reductase"
"g_17558",0,1,NA,NA,44.299277,65.164408,46.738043,8.239898,10.721204,5.846719,22.063286,20.704985,41.014535,"Nitrogen metabolism","K10946","pmoC-amoC","methane/ammonia monooxygenase subunit C"
"g_18173",0,0,"Q06458.1","RecName: Full=Nitrite reductase",3.476047,4.470324,0.937315,0.342724,0.139936,0,0,0,0,"Nitrogen metabolism","K00362","nirB","nitrite reductase (NADH) large subunit"
"g_19066",0,1,"Q9RA46.2","RecName: Full=Probable nitrate/nitrite antiporter NarK1",0.419002,0.584383,0.241535,23.990741,583.200448,90.10109,15.469467,26.924066,48.422238,"Nitrogen metabolism","K02575","NRT, narK, nrtP, nasA","MFS transporter, NNP family, nitrate/nitrite transporter"
"g_23676",0,0,"Q54KB7.1","RecName: Full=Glutamate dehydrogenase, mitochondrial; Short=GDH; Flags: Precursor",89.663494,48.920943,56.712621,1.702078,0.90552,0.531405,23.945799,28.209047,1.848722,"Nitrogen metabolism","K00261","GLUD1_2, gdhA","glutamate dehydrogenase (NAD(P)+)"
"g_27481",0,0,"Q8YBC6.3","RecName: Full=Nitrous-oxide reductase; AltName: Full=N(2)OR; AltName: Full=N2O reductase; Flags: Precursor",4.484363,6.038002,5.545081,0.513217,0.579648,0.699165,0.184413,0.30382,0.08402,"Nitrogen metabolism","K00376","nosZ","nitrous-oxide reductase"
"g_32770",0,1,"P98008.2","RecName: Full=Nitric oxide reductase subunit B; AltName: Full=NOR large subunit; AltName: Full=Nitric oxide reductase cytochrome b subunit",2.023593,2.980635,2.509694,1.091005,1.495119,0.855185,0.261598,0.39803,0.503083,"Nitrogen metabolism","K04561","norB","nitric oxide reductase subunit B"
"g_34014",0,0,"P24474.1","RecName: Full=Nitrite reductase; AltName: Full=Cytochrome cd1; AltName: Full=Cytochrome oxidase; AltName: Full=Hydroxylamine reductase; Flags: Precursor",1.109093,0.896488,1.475926,0.422617,6.940351,1.86927,0.148015,0.457197,0.153362,"Nitrogen metabolism","K15864","nirS","nitrite reductase (NO-forming) / hydroxylamine reductase"
"g_37327",1,1,"P24040.1","RecName: Full=Nitrite reductase; AltName: Full=Cytochrome cd1; AltName: Full=Cytochrome oxidase; AltName: Full=Hydroxylamine reductase; Flags: Precursor",8.857472,10.296149,8.579568,44.277287,100.617384,29.081461,2.180594,4.124341,2.944652,"Nitrogen metabolism","K15864","nirS","nitrite reductase (NO-forming) / hydroxylamine reductase"
"g_47300",0,1,"P98008.2","RecName: Full=Nitric oxide reductase subunit B; AltName: Full=NOR large subunit; AltName: Full=Nitric oxide reductase cytochrome b subunit",107.262758,87.866549,64.714619,5.629365,13.404558,11.201389,1.507043,2.603242,1.057735,"Nitrogen metabolism","K04561","norB","nitric oxide reductase subunit B"
