"gene_id","Sig0alP","tmhmm","SwissProt_ID","SwissProt_Description","Blue1","Blue2","Blue3","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","level3_pathway_name","ko","ko_name","ko_des"
"g_01051",0,0,"P12716.1","RecName: Full=Actin, cytoplasmic; Contains: RecName: Full=Actin, cytoplasmic, intermediate form; Flags: Precursor",18.274359,7.407874,2.15571,0,0.226589,0.287235,0,0,0,"Phototransduction - fly","K05692","ACTB_G1","actin beta/gamma 1"
"g_08757",0,0,"Q41420.1","PUTATIVE PSEUDOGENE: RecName: Full=Putative calmodulin-3; Short=CaM-3",36.280253,16.046749,19.310493,0.148223,0,0.370853,5.94185,7.930088,0.597556,"Phototransduction - fly","K02183","CALM","calmodulin"
"g_08757",0,0,"Q41420.1","PUTATIVE PSEUDOGENE: RecName: Full=Putative calmodulin-3; Short=CaM-3",36.280253,16.046749,19.310493,0.148223,0,0.370853,5.94185,7.930088,0.597556,"Phototransduction","K02183","CALM","calmodulin"
"g_09501",0,0,"P04464.3","RecName: Full=Calmodulin; Short=CaM",18.678784,10.194186,15.638236,0.393922,0,0,1.798118,2.399333,0.529161,"Phototransduction - fly","K02183","CALM","calmodulin"
"g_09501",0,0,"P04464.3","RecName: Full=Calmodulin; Short=CaM",18.678784,10.194186,15.638236,0.393922,0,0,1.798118,2.399333,0.529161,"Phototransduction","K02183","CALM","calmodulin"
"g_24609",0,0,"P62871.3","RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1 >P62872.3 RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1 >P62873.3 RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1 >P62874.3 RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1 >P54311.4 RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1",22.573563,8.467426,8.691165,0.023763,0.022101,0.104788,3.167734,4.744376,0.504197,"Phototransduction","K04536","GNB1","guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1"
"g_31770",0,1,"Q09196.1","RecName: Full=Myosin regulatory light chain cdc4",11.766275,9.038369,7.468409,0.208971,0,0,1.868323,2.017337,0.372672,"Phototransduction - fly","K02183","CALM","calmodulin"
"g_31770",0,1,"Q09196.1","RecName: Full=Myosin regulatory light chain cdc4",11.766275,9.038369,7.468409,0.208971,0,0,1.868323,2.017337,0.372672,"Phototransduction","K02183","CALM","calmodulin"
"g_33597",0,0,"P36408.1","RecName: Full=Guanine nucleotide-binding protein subunit beta",33.606974,16.516017,17.138476,0.538378,0.152474,0.290688,9.08705,8.80656,0.707011,"Phototransduction","K04536","GNB1","guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1"
"g_48714",0,0,"P62871.3","RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1 >P62872.3 RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1 >P62873.3 RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1 >P62874.3 RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1 >P54311.4 RecName: Full=Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1; AltName: Full=Transducin beta chain 1",14.981022,3.898352,4.563911,0.217884,0.132723,0,2.709205,2.091985,0.359558,"Phototransduction","K04536","GNB1","guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1"
"g_49798",0,0,"P04464.3","RecName: Full=Calmodulin; Short=CaM",26.737332,14.852615,12.77174,0.429324,0.2246,0.140139,2.508376,5.321884,0.188492,"Phototransduction","K02183","CALM","calmodulin"
"g_49798",0,0,"P04464.3","RecName: Full=Calmodulin; Short=CaM",26.737332,14.852615,12.77174,0.429324,0.2246,0.140139,2.508376,5.321884,0.188492,"Phototransduction - fly","K02183","CALM","calmodulin"
"g_00005",0,0,"Q7FAS1.1","RecName: Full=Peroxisomal (S)-2-hydroxy-acid oxidase GLO3; AltName: Full=Glycolate oxidase 3; Short=GOX 3; Short=OsGLO3; AltName: Full=Short chain alpha-hydroxy acid oxidase GLO3 >B8AUI3.1 RecName: Full=Peroxisomal (S)-2-hydroxy-acid oxidase GLO3; AltName: Full=Glycolate oxidase 3; Short=GOX 3; Short=OsGLO3; AltName: Full=Short chain alpha-hydroxy acid oxidase GLO3",18.961999,4.942066,2.640825,0.06334,0.172952,0,0,0,0,"Peroxisome","K11517","HAO","(S)-2-hydroxy-acid oxidase"
"g_00166",0,1,"Q8VIK2.1","RecName: Full=Mpv17-like protein 2",4.480193,3.468474,2.838521,0,0,0,0.489729,0.112766,0.089678,"Peroxisome","K13348","MPV17","protein Mpv17"
"g_02624",0,0,"Q9SRQ3.1","RecName: Full=Peroxisome biogenesis protein 19-1; AltName: Full=Peroxin-19-1; Short=AtPEX19-1; AltName: Full=Peroxisomal membrane protein import receptor PEX19-1; Flags: Precursor",7.885735,3.405564,1.346121,0,0.190509,0.16337,0,0,0,"Peroxisome","K13337","PEX19","peroxin-19"
"g_04614",0,0,"P12617.2","RecName: Full=Malonyl-CoA decarboxylase, mitochondrial; Short=MCD; Flags: Precursor",4.387132,1.190119,1.693397,0.051995,0,0,1.059147,0.666386,0.136916,"Peroxisome","K01578","MLYCD","malonyl-CoA decarboxylase"
"g_06063",0,0,"A4IF87.1","RecName: Full=Dihydroxyacetone phosphate acyltransferase; Short=DAP-AT; Short=DHAP-AT; AltName: Full=Acyl-CoA:dihydroxyacetonephosphateacyltransferase; AltName: Full=Glycerone-phosphate O-acyltransferase",7.206448,3.580754,3.731913,0.098972,0.021627,0.033525,0.851364,1.196572,0.051508,"Peroxisome","K00649","GNPAT","glyceronephosphate O-acyltransferase"
"g_08361",0,0,"Q6AUV1.1","RecName: Full=Xanthine dehydrogenase",6.319629,2.36416,2.214291,0,0.013064,0.081427,0.96406,0.605546,0.021084,"Peroxisome","K00106","XDH","xanthine dehydrogenase/oxidase"
"g_11410",0,1,"Q8T8P3.1","RecName: Full=ABC transporter D family member 2; AltName: Full=ABC transporter ABCD.2",5.256477,2.888642,2.913376,0.01625,0.033685,0,0.620474,0.746195,0.187301,"Peroxisome","K05677","ABCD3, PMP70","ATP-binding cassette, subfamily D (ALD), member 3"
"g_11900",0,1,"Q94FB9.1","RecName: Full=ABC transporter D family member 1; Short=ABC transporter ABCD.1; Short=AtABCD1; AltName: Full=Peroxisomal ABC transporter 1; Short=AtPXA1; AltName: Full=Protein ACETATE NON-UTILIZING 2; AltName: Full=Protein COMATOSE; AltName: Full=Protein PEROXISOME DEFECTIVE 3; Short=Ped3p",10.848143,4.567008,5.626607,0.076786,0,0,0.929593,1.677654,0.115802,"Peroxisome","K05677","ABCD3, PMP70","ATP-binding cassette, subfamily D (ALD), member 3"
"g_13533",0,0,"O81027.2","RecName: Full=Hydroxymethylglutaryl-CoA lyase, mitochondrial; Short=HL; Short=HMG-CoA lyase; AltName: Full=3-hydroxy-3-methylglutarate-CoA lyase",5.509814,3.764267,4.810584,0,0,0,2.14651,1.438434,0.054025,"Peroxisome","K01640","HMGCL, hmgL","hydroxymethylglutaryl-CoA lyase"
"g_16957",0,1,"Q8HXQ3.3","RecName: Full=Superoxide dismutase",24.037798,13.722319,12.946158,0.061327,0,0.104199,2.614049,2.715605,0.176788,"Peroxisome","K04565","SOD1","superoxide dismutase, Cu-Zn family"
"g_17118",0,0,NA,NA,7.843471,7.88815,7.64729,0,0.048559,0.466683,3.246607,4.08238,0.351116,"Peroxisome","K13352","PEX11B","peroxin-11B"
"g_20407",0,0,"Q9R063.1","RecName: Full=Peroxiredoxin-5, mitochondrial; AltName: Full=Antioxidant enzyme B166; Short=AOEB166; AltName: Full=PLP; AltName: Full=Peroxiredoxin V; Short=Prx-V; AltName: Full=Peroxisomal antioxidant enzyme; AltName: Full=Thioredoxin peroxidase PMP20; Flags: Precursor",36.113235,23.426586,22.245294,0.106603,0,0,3.813038,6.29788,0.412782,"Peroxisome","K11187","PRDX5","peroxiredoxin 5"
"g_21189",0,0,"Q55DR6.1","RecName: Full=Fatty acyl-CoA synthetase A; AltName: Full=Long chain fatty acyl coenzyme A-synthetase 1; Short=LC-FACS 1; AltName: Full=Long-chain-fatty-acid--CoA synthetase 1",5.340973,3.992798,3.803771,0.269673,0.017413,0.055153,1.643932,1.548593,0.284116,"Peroxisome","K01897","ACSL, fadD","long-chain acyl-CoA synthetase"
