"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label","Sig0alP","tmhmm","SwissProt_ID","SwissProt_Description","Blue1","Blue2","Blue3","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","query_ko","pathway_count","level1_pathway_id","level1_pathway_name","level2_pathway_id","level2_pathway_name","level3_pathway_id","level3_pathway_name","ko","ko_name","ko_des","ec"
"g_01671",6.39594469610136,7.83178227147662,"Cluster 2","Cluster 4","Cluster 5","Cluster 7","Cluster 2",0,0,"Q56989.1","RecName: Full=Hemin receptor; Flags: Precursor",19.542518,20.186571,31.067621,17.450612,88.423969,12.924334,8.760858,4.852456,3.488642,"K16087",1,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2000,"Transporters","K16087","TC.FEV.OM3, tbpA, hemR, lbpA, hpuB, bhuR, hugA, hmbR","hemoglobin/transferrin/lactoferrin receptor protein","-"
"g_03149",-4.50050665454338,19.040347844489,"Cluster 2","Cluster 4","Cluster 4","Cluster 7","Cluster 4",0,0,"P42378.2","RecName: Full=RNA polymerase sigma factor RpoH; AltName: Full=RNA polymerase sigma-32 factor",4.920508,5.68288,11.760212,12.693351,9.614745,17.226571,37.754395,55.29109,136.110652,"K03089",1,9180,"Brite Hierarchies",9182,"Protein families: genetic information processing",3021,"Transcription machinery","K03089","rpoH","RNA polymerase sigma-32 factor","-"
"g_05521",6.23157702843691,5.82520180922998,"Cluster 2","Cluster 4","Cluster 5","Cluster 7","Cluster 2",1,1,"Q04508.2","RecName: Full=Ammonia monooxygenase beta subunit; Short=AMO; AltName: Full=Heterotrimeric Cu-heme enzyme; Flags: Precursor",215.853475,413.767233,310.771846,16.063124,30.448946,10.948341,6.052045,5.497001,3.794343,"K10945",2,9100,"Metabolism",9102,"Energy metabolism",910,"Nitrogen metabolism","K10945","pmoB-amoB","methane/ammonia monooxygenase subunit B","-"
"g_05521",6.23157702843691,5.82520180922998,"Cluster 2","Cluster 4","Cluster 5","Cluster 7","Cluster 2",1,1,"Q04508.2","RecName: Full=Ammonia monooxygenase beta subunit; Short=AMO; AltName: Full=Heterotrimeric Cu-heme enzyme; Flags: Precursor",215.853475,413.767233,310.771846,16.063124,30.448946,10.948341,6.052045,5.497001,3.794343,"K10945",2,9100,"Metabolism",9102,"Energy metabolism",680,"Methane metabolism","K10945","pmoB-amoB","methane/ammonia monooxygenase subunit B","-"
"g_05560",-14.0700908085291,28.3596351847505,"Cluster 2","Cluster 4","Cluster 4","Cluster 4","Cluster 2",0,1,"P0AAR6.1","RecName: Full=Inner membrane protein YbaN >P0AAR5.1 RecName: Full=Inner membrane protein YbaN >P0AAR7.1 RecName: Full=Inner membrane protein YbaN",1.437196,1.167357,1.380086,4.871212,3.192131,5.795482,11.748893,14.535641,42.911457,"K09790",1,9190,"Not Included in Pathway or Brite",9194,"Poorly characterized",99997,"Function unknown","K09790","K09790","uncharacterized protein","-"
"g_08424",5.43232678002134,4.17392188108086,"Cluster 2","Cluster 4","Cluster 5","Cluster 7","Cluster 2",0,0,NA,NA,2.384323,3.328578,2.576003,18.021238,12.889834,14.678349,3.264174,5.675141,4.399989,"K11959",2,9130,"Environmental Information Processing",9131,"Membrane transport",2010,"ABC transporters","K11959","urtA","urea transport system substrate-binding protein","-"
"g_08424",5.43232678002134,4.17392188108086,"Cluster 2","Cluster 4","Cluster 5","Cluster 7","Cluster 2",0,0,NA,NA,2.384323,3.328578,2.576003,18.021238,12.889834,14.678349,3.264174,5.675141,4.399989,"K11959",2,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2000,"Transporters","K11959","urtA","urea transport system substrate-binding protein","-"
"g_10959",5.4903243516024,8.2699736218476,"Cluster 2","Cluster 4","Cluster 4","Cluster 7","Cluster 2",0,0,"Q9I4E1.1","RecName: Full=NAD-dependent protein deacylase 2; AltName: Full=Regulatory protein SIR2 homolog 2",3.040313,0.880812,1.28644,30.880211,40.644294,11.68041,6.197666,13.461506,5.103641,"K12410",1,9100,"Metabolism",9108,"Metabolism of cofactors and vitamins",760,"Nicotinate and nicotinamide metabolism","K12410","npdA","NAD-dependent deacetylase","[EC:2.3.1.286]"
"g_10966",5.93165352343569,3.41511682201209,"Cluster 2","Cluster 4","Cluster 5","Cluster 7","Cluster 2",0,0,"Q1QUG5.1","RecName: Full=Glucose-6-phosphate isomerase 2; Short=GPI 2; AltName: Full=Phosphoglucose isomerase 2; Short=PGI 2; AltName: Full=Phosphohexose isomerase 2; Short=PHI 2",9.464073,13.886685,13.917532,12.615692,8.280245,12.823748,5.417175,5.858151,3.586592,"K01810",5,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K01810","GPI, pgi","glucose-6-phosphate isomerase","[EC:5.3.1.9]"
"g_10966",5.93165352343569,3.41511682201209,"Cluster 2","Cluster 4","Cluster 5","Cluster 7","Cluster 2",0,0,"Q1QUG5.1","RecName: Full=Glucose-6-phosphate isomerase 2; Short=GPI 2; AltName: Full=Phosphoglucose isomerase 2; Short=PGI 2; AltName: Full=Phosphohexose isomerase 2; Short=PHI 2",9.464073,13.886685,13.917532,12.615692,8.280245,12.823748,5.417175,5.858151,3.586592,"K01810",5,9100,"Metabolism",9101,"Carbohydrate metabolism",10,"Glycolysis / Gluconeogenesis","K01810","GPI, pgi","glucose-6-phosphate isomerase","[EC:5.3.1.9]"
