"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label","Sig0alP","tmhmm","SwissProt_ID","SwissProt_Description","Blue1","Blue2","Blue3","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","query_ko","pathway_count","level1_pathway_id","level1_pathway_name","level2_pathway_id","level2_pathway_name","level3_pathway_id","level3_pathway_name","ko","ko_name","ko_des","ec"
"g_14924",-4.72636795512163,-27.780670407347,"Cluster 3","Cluster 1","Cluster 2","Cluster 2","Cluster 1",0,0,"Q9SYG7.3","RecName: Full=Aldehyde dehydrogenase family 7 member B4; AltName: Full=Antiquitin-1; AltName: Full=Turgor-responsive ALDH",9.715814,5.425255,4.838024,0.357711,0,0.095302,1.832518,2.286475,0.402175,"K14085",13,9100,"Metabolism",9101,"Carbohydrate metabolism",53,"Ascorbate and aldarate metabolism","K14085","ALDH7A1","aldehyde dehydrogenase family 7 member A1","[EC:1.2.1.31 1.2.1.8 1.2.1.3]"
"g_51140",25.5387013968931,-38.2884202098093,"Cluster 3","Cluster 1","Cluster 2","Cluster 6","Cluster 1",0,0,"Q5RF00.1","RecName: Full=Aldehyde dehydrogenase, mitochondrial; AltName: Full=ALDH class 2; AltName: Full=ALDH-E2; Flags: Precursor",13.667329,7.058291,7.519328,0.138461,0.093719,0.218611,6.033024,7.495722,0.937425,"K00128",16,9100,"Metabolism",9101,"Carbohydrate metabolism",53,"Ascorbate and aldarate metabolism","K00128","ALDH","aldehyde dehydrogenase (NAD+)","[EC:1.2.1.3]"
"g_07962",14.3842238901026,-40.5227628460835,"Cluster 3","Cluster 1","Cluster 2","Cluster 2","Cluster 1",0,0,"P34736.2","RecName: Full=Transketolase; Short=TK",30.402097,18.774723,21.816037,0.090438,0.094521,0.16008,4.586184,4.078247,0.837127,"K00615",3,9100,"Metabolism",9109,"Metabolism of terpenoids and polyketides",1051,"Biosynthesis of ansamycins","K00615","E2.2.1.1, tktA, tktB","transketolase","[EC:2.2.1.1]"
"g_32929",17.3657502119982,-47.7650081518226,"Cluster 3","Cluster 1","Cluster 2","Cluster 2","Cluster 1",0,0,NA,NA,30.120699,18.461199,18.140726,0.069562,0,0.088403,4.920182,5.300676,0.458817,"K00416",12,9150,"Organismal Systems",9153,"Circulatory system",4260,"Cardiac muscle contraction","K00416","QCR6, UQCRH","ubiquinol-cytochrome c reductase subunit 6","-"
"g_47487",37.6680392449769,-29.3759829496867,"Cluster 3","Cluster 1","Cluster 6","Cluster 4","Cluster 1",0,1,NA,NA,45.551522,18.40767,26.977088,0.07304,0.42658,0.092823,10.23676,10.859265,2.591789,"K00416",12,9150,"Organismal Systems",9153,"Circulatory system",4260,"Cardiac muscle contraction","K00416","QCR6, UQCRH","ubiquinol-cytochrome c reductase subunit 6","-"
"g_01713",2.37273762049331,-49.8608501819688,"Cluster 3","Cluster 1","Cluster 2","Cluster 2","Cluster 1",0,0,"P34943.1","RecName: Full=NADH dehydrogenase",24.939517,12.30013,14.246711,0.086049,0.133097,0.29058,2.704971,4.180472,0.589631,"K03953",12,9160,"Human Diseases",9161,"Cancer: overview",5208,"Chemical carcinogenesis - reactive oxygen species","K03953","NDUFA9","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9","-"
"g_03270",9.63426946109632,-23.2855896594567,"Cluster 3","Cluster 1","Cluster 2","Cluster 2","Cluster 1",0,0,"Q6RUV5.1","RecName: Full=Ras-related C3 botulinum toxin substrate 1; AltName: Full=p21-Rac1; Flags: Precursor >P62998.1 RecName: Full=Ras-related C3 botulinum toxin substrate 1; AltName: Full=p21-Rac1; Flags: Precursor >P62999.1 RecName: Full=Ras-related C3 botulinum toxin substrate 1; AltName: Full=Rac2; AltName: Full=p21-Rac1; Flags: Precursor >P63000.1 RecName: Full=Ras-related C3 botulinum toxin substrate 1; AltName: Full=Cell migration-inducing gene 5 protein; AltName: Full=Ras-like protein TC25; AltName: Full=p21-Rac1; Flags: Precursor >P63001.1 RecName: Full=Ras-related C3 botulinum toxin substrate 1; AltName: Full=p21-Rac1; Flags: Precursor",13.040417,9.680504,6.613873,0.270941,0.062101,0.056004,2.27111,1.800936,0.72835,"K04392",57,9160,"Human Diseases",9161,"Cancer: overview",5208,"Chemical carcinogenesis - reactive oxygen species","K04392","RAC1","Ras-related C3 botulinum toxin substrate 1","-"
"g_03659",20.5861160178217,-50.5296508449319,"Cluster 3","Cluster 1","Cluster 2","Cluster 2","Cluster 1",0,0,"O22769.3","RecName: Full=NADH dehydrogenase",35.31932,14.711677,14.078669,0.420472,0.212656,0.422351,4.823732,4.771187,0.14487,"K03943",12,9160,"Human Diseases",9161,"Cancer: overview",5208,"Chemical carcinogenesis - reactive oxygen species","K03943","NDUFV2","NADH dehydrogenase (ubiquinone) flavoprotein 2","[EC:7.1.1.2]"
"g_04600",-6.03621300408799,-38.3817327902265,"Cluster 3","Cluster 1","Cluster 2","Cluster 2","Cluster 1",0,0,"A5PL98.1","RecName: Full=Succinate dehydrogenase",44.111569,18.149188,18.276792,0.300432,0,0,1.97208,2.893991,0.179963,"K00235",12,9160,"Human Diseases",9161,"Cancer: overview",5208,"Chemical carcinogenesis - reactive oxygen species","K00235","SDHB, SDH2","succinate dehydrogenase (ubiquinone) iron-sulfur subunit","[EC:1.3.5.1]"
"g_05668",30.3178478801513,-39.5952701543887,"Cluster 3","Cluster 1","Cluster 2","Cluster 6","Cluster 1",0,0,"Q03206.2","RecName: Full=Ras-related protein ced-10; AltName: Full=CErac1; AltName: Full=Cell death protein 10; AltName: Full=Cell-corpse engulfment protein ced-10; AltName: Full=Ras-related protein rac-1; Flags: Precursor",36.373255,14.938229,12.563961,0.808777,0.620167,0.368777,6.210022,6.823962,0.549612,"K04392",57,9160,"Human Diseases",9161,"Cancer: overview",5208,"Chemical carcinogenesis - reactive oxygen species","K04392","RAC1","Ras-related C3 botulinum toxin substrate 1","-"
