"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label","Sig0alP","tmhmm","SwissProt_ID","SwissProt_Description","Blue1","Blue2","Blue3","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","query_ko","pathway_count","level1_pathway_id","level1_pathway_name","level2_pathway_id","level2_pathway_name","level3_pathway_id","level3_pathway_name","ko","ko_name","ko_des","ec"
"g_05066",-50.1512983516898,2.02586195445743,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,"P06179.4","RecName: Full=Flagellin; AltName: Full=Phase 1-I flagellin",53.302695,55.998884,38.928972,1953.276959,2101.643904,1366.705938,1096.40196,1958.526254,1983.244046,"K02406",8,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K02406","fliC, hag","flagellin","-"
"g_06237",-51.7259769742572,-14.164950753386,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,"P06974.1","RecName: Full=Flagellar motor switch protein FliM",7.56126,5.484225,6.299946,81.723877,133.246493,114.539549,57.114972,33.057745,53.327975,"K02416",3,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K02416","fliM","flagellar motor switch protein FliM","-"
"g_10542",-48.3790385605574,-5.89346768843979,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,"Q9I3P8.1","RecName: Full=Flagellar biosynthesis protein FlhF; AltName: Full=Flagella-associated GTP-binding protein",7.937777,6.967628,6.741889,371.685489,252.588133,312.826729,207.214066,340.529245,335.283275,"K02404",1,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K02404","flhF","flagellar biosynthesis protein FlhF","-"
"g_10722",-37.7758290309721,-20.1538417296206,"Cluster 4","Cluster 4","Cluster 1","Cluster 1","Cluster 2",0,0,"P52612.2","RecName: Full=Flagellum-specific ATP synthase",2.226393,2.239597,1.950058,43.655957,71.258598,46.206903,30.479313,33.750377,44.949224,"K02412",3,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K02412","fliI","flagellum-specific ATP synthase","[EC:7.4.2.8]"
"g_14330",-36.6533387527502,-20.1143146361439,"Cluster 4","Cluster 4","Cluster 1","Cluster 1","Cluster 2",0,1,"P40727.1","RecName: Full=Flagellar biosynthetic protein FlhB",2.60475,1.991417,2.12738,32.023993,63.503419,35.348856,24.062753,20.183294,20.726204,"K02401",3,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K02401","flhB","flagellar biosynthesis protein FlhB","-"
"g_14403",-52.5236511501111,0.965215903246533,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 3",0,0,"P72151.2","RecName: Full=B-type flagellin",220.149371,90.216761,96.548731,577.647581,327.862215,629.061062,725.972483,531.707927,1236.992292,"K02406",8,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K02406","fliC, hag","flagellin","-"
"g_19622",-40.7986961759267,-20.1986528472675,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,1,"P39064.1","RecName: Full=Uncharacterized protein YtxE",2.753052,3.171594,1.586333,75.365211,87.441114,58.314029,89.61337,91.661272,126.885111,"K02557",4,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K02557","motB","chemotaxis protein MotB","-"
"g_20098",-33.5317720776096,-33.7777170031412,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 3",0,1,"Q07564.1","RecName: Full=Fimbrial protein EcpC; AltName: Full=Pilin; Flags: Precursor",44.906083,17.022328,12.141382,56.748685,97.131985,125.612148,262.782897,522.143221,1320.886087,"K02650",3,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K02650","pilA","type IV pilus assembly protein PilA","-"
"g_23781",-37.9650369846861,-19.6715346689814,"Cluster 4","Cluster 4","Cluster 1","Cluster 1","Cluster 2",0,1,"Q9X1E2.1","RecName: Full=Methyl-accepting chemotaxis protein 4",2.305979,1.894827,1.864134,37.663509,71.508526,60.12865,39.540389,46.553406,43.924374,"K03406",3,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K03406","mcp","methyl-accepting chemotaxis protein","-"
"g_27359",-49.9932941276211,-0.222054478300777,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 3",0,0,"P0A1J5.2","RecName: Full=Flagellar hook-associated protein 1; Short=HAP1 >P0A1J6.2 RecName: Full=Flagellar hook-associated protein 1; Short=HAP1",21.160924,27.788561,26.417139,747.744105,508.898967,834.478019,578.09976,1371.589972,1272.50812,"K02396",2,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K02396","flgK","flagellar hook-associated protein 1","-"
"g_27535",-50.0976173456352,1.58682236317422,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 3",0,0,"P06175.2","RecName: Full=Flagellin; AltName: Full=Phase 1-R flagellin",66.904781,46.389566,34.616048,1311.244463,1086.900459,774.287862,678.014207,663.936325,1308.836424,"K02406",8,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K02406","fliC, hag","flagellin","-"
"g_31812",-40.1989631859019,-16.3555600516854,"Cluster 4","Cluster 4","Cluster 1","Cluster 1","Cluster 3",0,0,NA,NA,0.575513,1.653607,1.85064,37.329255,33.053553,146.292028,197.009319,90.32764,124.695166,"K02407",2,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K02407","fliD","flagellar hook-associated protein 2","-"
"g_33340",-45.280119755836,-19.5108949078219,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,"P37599.1","RecName: Full=Chemotaxis protein CheV",3.00342,3.807298,2.71445,71.88701,97.690076,87.928757,74.851764,69.439424,113.76503,"K03415",4,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K03415","cheV","two-component system, chemotaxis family, chemotaxis protein CheV","-"
"g_34069",-51.6033826329287,-10.8290850236133,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 3",0,1,"G3XD24.1","RecName: Full=Methyl-accepting chemotaxis protein PctA",5.796409,8.039597,7.13948,110.690838,96.154387,206.077793,156.440034,360.570123,305.271869,"K03406",3,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K03406","mcp","methyl-accepting chemotaxis protein","-"
"g_35105",-44.7945703430731,-19.5117447991972,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,1,"P46826.1","RecName: Full=Uncharacterized 29.3 kDa protein in ccpA 3'region; AltName: Full=ORF1",3.931412,2.293085,3.869171,83.553499,89.254352,94.160217,68.398831,71.04479,107.063204,"K02556",5,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K02556","motA","chemotaxis protein MotA","-"
"g_50142",-50.7188502575807,2.99146020621966,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,"P42272.3","RecName: Full=Flagellin 1",79.343847,101.916173,79.90504,3287.900112,2928.475209,2006.579383,2175.01518,3739.548906,3337.401935,"K02406",8,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K02406","fliC, hag","flagellin","-"
"g_52123",-35.2075376293165,-23.9888560464175,"Cluster 4","Cluster 4","Cluster 1","Cluster 1","Cluster 3",0,1,"P13253.2","RecName: Full=Fimbrial protein; AltName: Full=340 antigen; AltName: Full=Pilin; AltName: Full=Serogroup D; Flags: Precursor",5.982571,3.674606,5.182287,73.500136,40.883108,32.668843,78.576334,169.749208,316.578497,"K02650",3,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K02650","pilA","type IV pilus assembly protein PilA","-"
"g_55742",-51.835940438203,-1.94363074062712,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 3",0,0,"P72151.2","RecName: Full=B-type flagellin",49.252099,24.596525,20.931772,309.177703,168.784808,277.796217,217.88917,233.075103,519.362152,"K02406",8,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2035,"Bacterial motility proteins","K02406","fliC, hag","flagellin","-"
"g_24930",-35.9559391193378,-19.2025125080493,"Cluster 4","Cluster 4","Cluster 1","Cluster 1","Cluster 3",0,0,NA,NA,2.412453,3.171607,3.43142,40.126576,36.598914,63.534188,49.181344,24.296155,30.196713,"K00799",13,9160,"Human Diseases",9161,"Cancer: overview",5208,"Chemical carcinogenesis - reactive oxygen species","K00799","GST, gst","glutathione S-transferase","[EC:2.5.1.18]"
"g_26961",-49.3257454580891,-4.00528989865976,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 4",0,1,"O31215.2","RecName: Full=Cytochrome b",10.731651,12.358376,9.894007,372.494419,388.766099,413.882499,261.39488,221.98411,285.763433,"K00412",14,9160,"Human Diseases",9161,"Cancer: overview",5208,"Chemical carcinogenesis - reactive oxygen species","K00412","CYTB, petB","ubiquinol-cytochrome c reductase cytochrome b subunit","-"
"g_29251",-49.3709795346159,-16.9439206195867,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,"P0ACA2.1","RecName: Full=Uncharacterized GST-like protein YibF >P0ACA1.1 RecName: Full=Uncharacterized GST-like protein YibF",4.303557,4.679188,4.262443,90.273614,97.518026,162.635789,131.131014,96.033478,133.01872,"K00799",13,9160,"Human Diseases",9161,"Cancer: overview",5208,"Chemical carcinogenesis - reactive oxygen species","K00799","GST, gst","glutathione S-transferase","[EC:2.5.1.18]"
"g_41985",-50.8323693978221,3.05452926550308,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 3",0,0,"Q9RUV2.3","RecName: Full=Superoxide dismutase",88.51922,163.638073,225.939181,1852.313693,2007.431321,1745.861174,2833.028667,1488.565046,440.349277,"K04564",9,9160,"Human Diseases",9161,"Cancer: overview",5208,"Chemical carcinogenesis - reactive oxygen species","K04564","SOD2","superoxide dismutase, Fe-Mn family","[EC:1.15.1.1]"
"g_03874",-49.4889657517731,-1.49290668257452,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 3",0,0,"A9IGC3.1","RecName: Full=Chaperone protein DnaK; AltName: Full=HSP70; AltName: Full=Heat shock 70 kDa protein; AltName: Full=Heat shock protein 70",12.88546,15.054567,15.612227,806.589706,193.866567,1406.451135,4283.994758,4039.799005,4039.174413,"K04043",7,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K04043","dnaK, HSPA9","molecular chaperone DnaK","-"
"g_11147",-38.016742468041,-20.1953569098546,"Cluster 4","Cluster 4","Cluster 1","Cluster 1","Cluster 2",0,0,"Q0KBP1.1","RecName: Full=Beta-ketothiolase BktB; AltName: Full=Acetyl-CoA acetyltransferase; AltName: Full=Acetyl-CoA acyltransferase",2.276516,2.147753,1.485759,52.602184,67.939339,44.347105,63.107999,51.936456,70.982493,"K00626",13,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K00626","ACAT, atoB","acetyl-CoA C-acetyltransferase","[EC:2.3.1.9]"
"g_11907",-50.6764693394311,-0.508698166352123,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,"O46629.1","RecName: Full=Trifunctional enzyme subunit beta, mitochondrial; AltName: Full=TP-beta; Includes: RecName: Full=3-ketoacyl-CoA thiolase; AltName: Full=Acetyl-CoA acyltransferase; AltName: Full=Beta-ketothiolase; Flags: Precursor",28.278586,41.030779,26.155074,671.031717,440.072321,678.981906,861.763047,859.139425,1155.844685,"K00626",13,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K00626","ACAT, atoB","acetyl-CoA C-acetyltransferase","[EC:2.3.1.9]"
"g_17320",-50.099758467488,-7.19472560637473,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,NA,NA,9.747479,9.051318,8.497336,184.266539,209.11443,230.841469,229.799338,233.084065,348.009699,"K06013",3,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K06013","STE24","STE24 endopeptidase","[EC:3.4.24.84]"
"g_18403",-35.0050580032167,-12.4841761299085,"Cluster 4","Cluster 4","Cluster 1","Cluster 4","Cluster 3",0,0,"Q43974.1","RecName: Full=Beta-ketoadipyl-CoA thiolase; AltName: Full=3-oxoadipyl-CoA thiolase",1.171348,1.909888,1.083518,25.916521,27.960222,32.200517,25.93742,29.801202,58.667523,"K00626",13,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K00626","ACAT, atoB","acetyl-CoA C-acetyltransferase","[EC:2.3.1.9]"
"g_18966",-49.9457937819155,0.511862139928304,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,"Q46ZL2.1","RecName: Full=3-hydroxylaminophenol mutase; Short=3HAP mutase; AltName: Full=3-(hydroxyamino)phenol mutase",28.812081,30.19176,33.800899,895.108504,940.925159,706.559608,845.440915,801.467132,886.074208,"K01915",9,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K01915","glnA, GLUL","glutamine synthetase","[EC:6.3.1.2]"
"g_19627",-49.8355885044592,-11.7973705489683,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,"P11959.2","RecName: Full=Dihydrolipoyl dehydrogenase; AltName: Full=Dihydrolipoamide dehydrogenase; AltName: Full=E3 component of pyruvate complex",4.642207,5.936665,5.404339,186.261184,168.63342,147.086264,156.813174,195.055514,225.410056,"K00382",10,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K00382","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase","[EC:1.8.1.4]"
"g_19885",-48.6635283602959,-12.2537261187921,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,"Q9I1L9.1","RecName: Full=Dihydrolipoyl dehydrogenase; AltName: Full=Dihydrolipoamide dehydrogenase; AltName: Full=E3 component of branched-chain alpha-keto acid dehydrogenase complex; AltName: Full=LPD-Val",6.267336,4.75754,3.350556,217.221782,236.830014,116.909992,116.929416,140.080902,147.872771,"K00382",10,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K00382","DLD, lpd, pdhD","dihydrolipoamide dehydrogenase","[EC:1.8.1.4]"
"g_22023",-48.9043910988097,-8.74123523275803,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 3",0,0,"Q7WQ31.1","RecName: Full=Chaperone protein HtpG; AltName: Full=Heat shock protein HtpG; AltName: Full=High temperature protein G",5.337555,7.8324,7.490678,289.521714,78.029301,393.806945,1010.760697,971.779358,574.333837,"K04079",22,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K04079","HSP90A, htpG","molecular chaperone HtpG","-"
"g_22481",-50.4976333439512,-12.3693262699396,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,1,"P39879.2","RecName: Full=Uncharacterized protein PA2026",5.942348,6.812787,5.753328,130.158435,210.889891,118.927624,90.702303,126.31542,121.372251,"K14347",2,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K14347","SLC10A7, P7","solute carrier family 10 (sodium/bile acid cotransporter), member 7","-"
"g_22971",-50.0746770710986,-10.0883042743123,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 4",0,0,"Q7W7H8.1","RecName: Full=Argininosuccinate synthase; AltName: Full=Citrulline--aspartate ligase >Q7WKW7.1 RecName: Full=Argininosuccinate synthase; AltName: Full=Citrulline--aspartate ligase",6.975927,6.791406,5.949178,161.152581,165.017425,178.603795,167.169993,138.996829,200.170291,"K01940",4,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K01940","argG, ASS1","argininosuccinate synthase","[EC:6.3.4.5]"
"g_33102",-46.4471891538237,-21.7581637908583,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,"P21599.3","RecName: Full=Pyruvate kinase II; AltName: Full=PK-2",3.887008,5.677004,3.673662,71.02873,81.406795,84.840836,63.949367,58.616534,88.11764,"K00873",9,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K00873","PK, pyk","pyruvate kinase","[EC:2.7.1.40]"
"g_35573",-43.4630503365502,-16.3717662961999,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 4",0,0,"A9I734.1","RecName: Full=Glucose-6-phosphate isomerase; Short=GPI; AltName: Full=Phosphoglucose isomerase; Short=PGI; AltName: Full=Phosphohexose isomerase; Short=PHI",2.012883,1.911838,1.182611,90.007547,82.855632,135.614159,71.028464,68.986714,83.157227,"K01810",5,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K01810","GPI, pgi","glucose-6-phosphate isomerase","[EC:5.3.1.9]"
"g_50706",-52.6268956096782,1.01145576186063,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 3",0,0,"A4VHM8.1","RecName: Full=Elongation factor Tu 2; Short=EF-Tu 2",253.60775,131.866423,144.276156,413.817723,543.686529,185.618284,447.567198,172.515405,168.371463,"K02358",4,9180,"Brite Hierarchies",9183,"Protein families: signaling and cellular processes",4147,"Exosome","K02358","tuf, TUFM","elongation factor Tu","-"
"g_05066",-50.1512983516898,2.02586195445743,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,"P06179.4","RecName: Full=Flagellin; AltName: Full=Phase 1-I flagellin",53.302695,55.998884,38.928972,1953.276959,2101.643904,1366.705938,1096.40196,1958.526254,1983.244046,"K02406",8,9140,"Cellular Processes",9142,"Cell motility",2040,"Flagellar assembly","K02406","fliC, hag","flagellin","-"
"g_06237",-51.7259769742572,-14.164950753386,"Cluster 4","Cluster 4","Cluster 7","Cluster 1","Cluster 2",0,0,"P06974.1","RecName: Full=Flagellar motor switch protein FliM",7.56126,5.484225,6.299946,81.723877,133.246493,114.539549,57.114972,33.057745,53.327975,"K02416",3,9140,"Cellular Processes",9142,"Cell motility",2040,"Flagellar assembly","K02416","fliM","flagellar motor switch protein FliM","-"
