"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label","Sig0alP","tmhmm","SwissProt_ID","SwissProt_Description","Blue1","Blue2","Blue3","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","query_ko","pathway_count","level1_pathway_id","level1_pathway_name","level2_pathway_id","level2_pathway_name","level3_pathway_id","level3_pathway_name","ko","ko_name","ko_des","ec"
"g_12379",34.40105674,1.26417019,"Cluster 5","Cluster 5","Cluster 5","Cluster 5","Cluster 1",0,0,"Q7SXN5.1","RecName: Full=Dynamin-1-like protein",11.271694,6.507873,5.052552,0.199553,0.058179,0.046687,1.77688,1.830674,0.058409,"K17065",8,9140,"Cellular Processes",9143,"Cell growth and death",4214,"Apoptosis - fly","K17065","DNM1L","dynamin 1-like protein","[EC:3.6.5.5]"
"g_14452",38.08363727,10.33418945,"Cluster 5","Cluster 5","Cluster 5","Cluster 5","Cluster 1",0,0,"P38431.1","RecName: Full=Eukaryotic translation initiation factor 5; Short=eIF-5",17.459654,7.034187,6.792091,0.139119,0,0.057939,0.057707,0.128822,0.128606,"K03262",2,9140,"Cellular Processes",9143,"Cell growth and death",4214,"Apoptosis - fly","K03262","EIF5","translation initiation factor 5","-"
"g_15638",41.5098624,6.767272732,"Cluster 5","Cluster 5","Cluster 5","Cluster 5","Cluster 1",0,0,"A4K2M3.1","RecName: Full=Serine/threonine-protein kinase 4; Contains: RecName: Full=Serine/threonine-protein kinase 4 37kDa subunit; Short=MST1/N; Contains: RecName: Full=Serine/threonine-protein kinase 4 18kDa subunit; Short=MST1/C",18.921661,5.873754,5.477728,0.116632,0,0.022512,3.022518,2.886008,0.031473,"K04412",6,9140,"Cellular Processes",9143,"Cell growth and death",4214,"Apoptosis - fly","K04412","STK3, MST2","serine/threonine kinase 3","-"
"g_17636",23.33820259,26.88009478,"Cluster 5","Cluster 5","Cluster 6","Cluster 6","Cluster 1",0,1,NA,NA,26.379218,17.737291,20.29389,0.467582,0.323893,0.194409,5.065715,5.445381,0.154877,"K05770",5,9140,"Cellular Processes",9143,"Cell growth and death",4214,"Apoptosis - fly","K05770","TSPO, BZRP","translocator protein","-"
"g_18168",15.58429205,19.01286783,"Cluster 5","Cluster 5","Cluster 6","Cluster 2","Cluster 1",0,0,"P34227.1","RecName: Full=Peroxiredoxin PRX1, mitochondrial; Short=Prx; AltName: Full=1-Cys PRX; AltName: Full=Mitochondrial thiol peroxidase; Short=mTPx; AltName: Full=Thioredoxin peroxidase; Flags: Precursor",11.275647,28.014547,27.911131,0.338128,0.145844,0.183724,0,0.43638,0,"K03386",2,9140,"Cellular Processes",9143,"Cell growth and death",4214,"Apoptosis - fly","K03386","PRDX2_4, ahpC","peroxiredoxin 2/4","[EC:1.11.1.24]"
"g_19758",37.81347342,8.881391481,"Cluster 5","Cluster 5","Cluster 5","Cluster 5","Cluster 1",0,0,"Q9BGI3.1","RecName: Full=Peroxiredoxin-2",18.878825,7.068046,8.226048,0,0.053987,0,2.382619,1.578374,0.292208,"K03386",2,9140,"Cellular Processes",9143,"Cell growth and death",4214,"Apoptosis - fly","K03386","PRDX2_4, ahpC","peroxiredoxin 2/4","[EC:1.11.1.24]"
"g_26151",12.74091303,17.06298595,"Cluster 5","Cluster 5","Cluster 6","Cluster 2","Cluster 1",0,0,"O67024.1","RecName: Full=Peroxiredoxin; AltName: Full=Thioredoxin peroxidase",3.934454,54.327511,41.546568,0.137056,0.553845,0.480022,0.072172,0.283948,0.290185,"K03386",2,9140,"Cellular Processes",9143,"Cell growth and death",4214,"Apoptosis - fly","K03386","PRDX2_4, ahpC","peroxiredoxin 2/4","[EC:1.11.1.24]"
"g_28218",23.55058371,32.05423636,"Cluster 5","Cluster 5","Cluster 6","Cluster 2","Cluster 5",1,0,"P34227.1","RecName: Full=Peroxiredoxin PRX1, mitochondrial; Short=Prx; AltName: Full=1-Cys PRX; AltName: Full=Mitochondrial thiol peroxidase; Short=mTPx; AltName: Full=Thioredoxin peroxidase; Flags: Precursor",46.285931,24.626104,22.246341,0.170652,0.089989,0.082895,0.084249,0,0,"K03386",2,9140,"Cellular Processes",9143,"Cell growth and death",4214,"Apoptosis - fly","K03386","PRDX2_4, ahpC","peroxiredoxin 2/4","[EC:1.11.1.24]"
"g_29308",1.465758741,15.14875591,"Cluster 5","Cluster 5","Cluster 6","Cluster 2","Cluster 1",0,0,"P21762.3","RecName: Full=Alkyl hydroperoxide reductase C; AltName: Full=26 kDa antigen; AltName: Full=Peroxiredoxin; AltName: Full=Thioredoxin peroxidase",10.269304,26.562926,26.74259,1.211719,3.074864,1.059903,1.043283,2.344066,2.14916,"K03386",2,9140,"Cellular Processes",9143,"Cell growth and death",4214,"Apoptosis - fly","K03386","PRDX2_4, ahpC","peroxiredoxin 2/4","[EC:1.11.1.24]"
"g_29816",24.40513504,8.712664984,"Cluster 5","Cluster 5","Cluster 4","Cluster 6","Cluster 5",0,1,"P38297.1","RecName: Full=Mitofusin FZO1; AltName: Full=Transmembrane GTPase FZO1",9.60239,8.775888,9.535723,0.060712,0.096364,0.038879,0.079292,0.128331,0.063643,"K06030",7,9140,"Cellular Processes",9143,"Cell growth and death",4214,"Apoptosis - fly","K06030","MFN2, FZO1","mitofusin 2","[EC:3.6.5.-]"
